layer,expert,panel_group,global_target_grad_bf16,global_control_grad_bf16,global_grad_specific_bf16,global_grad_ratio_bf16,scan_peak_gpu_gib,selection_supervised_positions,selection_supervised_selected_hits,selection_supervised_selected_rate,selection_supervised_routing_mass,routing_rank,global_target_grad_rank,global_grad_specific_rank
15,74,sentinel,1.4055392742156982,0.1330668330192566,1.3057391494512558,10.562656691481752,65.19905996322632,330,255,0.7727272727272727,0.16532907196969698,4,95,23
33,235,sentinel,1.3460114002227783,0.0179516933858394,1.3325476301833987,74.97963402213357,65.55536031723022,330,266,0.806060606060606,0.15970052083333333,6,102,21
5,119,sentinel,0.3530424833297729,0.0093004535883665,0.346067143138498,37.95970593664562,64.9991660118103,330,38,0.11515151515151516,0.03574958570075758,183,635,380
27,146,sentinel,2.493415355682373,2.1572141647338867,0.875504732131958,1.155849704884913,65.43742895126343,330,76,0.23030303030303031,0.039150538589015155,152,21,72
27,86,sentinel,1.6700299978256226,0.192674234509468,1.5255243219435215,8.667635307173825,65.43742895126343,330,87,0.2636363636363636,0.03854166666666667,159,68,11
14,149,sentinel,0.8154451847076416,0.7162508964538574,0.2782570123672485,1.1384909795488627,65.17856931686401,330,6,0.01818181818181818,0.0018391927083333333,3051,200,472
6,0,sentinel,0.3859955966472626,0.2673140466213226,0.1855100616812706,1.4439779784285725,65.01965665817261,330,142,0.4303030303030303,0.0636422821969697,51,582,757
5,66,sentinel,0.0375718288123607,0.016251528635621,0.0253831823356449,2.3118950624556445,64.9991660118103,330,0,0.0,0.0,5462,4447,3272
3,220,sentinel,0.0180353354662656,0.0122360084205865,0.0088583291508257,1.4739557905540506,64.96069097518921,330,1,0.0030303030303030303,0.00020862926136363635,4793,5957,4694
36,229,sentinel,0.5733036994934082,0.3366619944572449,0.3208072036504745,1.7029059083903018,65.61432600021362,330,19,0.05757575757575758,0.017194898200757577,646,327,416
36,95,sentinel,0.0100449733436107,0.9963055849075316,-0.737184215337038,0.0100822212539669,65.61432600021362,330,4,0.012121212121212121,0.001025390625,3975,6950,9970
33,1,sentinel,0.0177332479506731,1.432778239250183,-1.0568504314869642,0.012376826688784,65.55536031723022,330,0,0.0,0.0,9281,5986,9980
