layer,expert,target_delta_nll,control_delta_nll,causal_specificity,target_relative_delta,control_relative_delta,causal_relative_specificity,renorm_target_delta_nll,renorm_control_delta_nll,renorm_causal_specificity,renorm_target_relative_delta,renorm_control_relative_delta,renorm_causal_relative_specificity,ci_2.5,ci_97.5,p_positive
12,198,0.00534798763692379,0.012430758215487003,-0.0039750810246914625,0.0019346170706640953,0.006129176457852431,-0.0026622652727252287,0.014268799684941769,-0.0016748624620959163,0.014268799684941769,0.005161691709566714,-0.0008258166875154586,0.005161691709566714,-0.03426784067973495,0.02347564879804847,0.3806
13,238,-0.0019243466667830944,-0.02249492146074772,-0.0019243466667830944,-0.0006961261252233478,-0.011091466879846537,-0.0006961261252233478,-0.011861893348395824,-0.012390673160552979,-0.011861893348395824,-0.004291001198986216,-0.0061094119052198135,-0.004291001198986216,-0.028209071461111304,0.02431667524576186,0.426
14,248,0.0195382758975029,-0.006423058453947306,0.0195382758975029,0.007067907528745957,-0.0031669877235884704,0.007067907528745957,-0.0033100389409810305,0.006379342172294855,-0.008094545570202172,-0.0011973957822139331,0.0031454327387931565,-0.0035564703363088,-0.014125627249479293,0.047328067258000366,0.8662
15,68,0.003280054312199354,-0.0022749865893274546,0.003280054312199354,0.001186548940628502,-0.001121717115200889,0.001186548940628502,0.010414814576506615,-0.024572238326072693,0.010414814576506615,0.003767525176834673,-0.012115719898506898,0.003767525176834673,-0.02681851270794869,0.023973079651594124,0.5008
16,213,0.010773228481411934,-0.00843800138682127,0.010773228481411934,0.0038971802369933486,-0.004160486315870711,0.0038971802369933486,0.02133726142346859,0.0021397012751549482,0.01973248546710238,0.0077186846704845975,0.0010550126110712662,0.006927425212181148,-0.01332873422279954,0.03297526225447654,0.8106
17,146,0.004652827978134155,-0.00029573083156719804,0.004652827978134155,0.001683145333249041,-0.0001458146332895898,0.001683145333249041,-0.0012749790912494063,-0.0035715859849005938,-0.0012749790912494063,-0.0004612195244508278,-0.0017610253820700497,-0.0004612195244508278,-0.018658709485083816,0.021580050442367785,0.5828
18,206,0.009512257762253284,0.00017227351781912148,0.009383052623888943,0.0034410281954199836,8.49421066216928e-05,0.003377321615453714,0.029811840504407883,-0.006564464420080185,0.029811840504407883,0.010784335990147817,-0.003236710109270603,0.010784335990147817,-0.014972753845155238,0.02536275416612624,0.728
19,173,0.02240789495408535,-0.007959737442433834,0.02240789495408535,0.008105982855404854,-0.003924670924905497,0.008105982855404854,0.03152552247047424,-0.0031733918003737926,0.03152552247047424,0.01140425484754222,-0.001564689617256061,0.01140425484754222,-0.00040548706054687475,0.050328235179185804,0.9712
20,61,0.019032759591937065,-0.00021932661184109747,0.019032759591937065,0.006885038655322522,-0.00010814235805843218,0.006885038655322522,0.01970861852169037,-0.0008399600046686828,0.01970861852169037,0.007129528417010455,-0.00041415519447067083,0.007129528417010455,-0.006551729347556829,0.03841030421853065,0.9166
21,245,0.03147628903388977,-0.014671032316982746,0.03147628903388977,0.011386444812566416,-0.007233778047232333,0.011386444812566416,0.019782545045018196,-0.011562888510525227,0.019782545045018196,0.007156271095512069,-0.005701259956547796,0.007156271095512069,0.012186201572418214,0.051604583978652946,0.9998
22,13,0.023329054936766624,-0.0016879528993740678,0.023329054936766624,0.00843920947227357,-0.0008322711288775535,0.00843920947227357,0.017625050619244576,-0.0040344553999602795,0.017625050619244576,0.006375804529518817,-0.0019892502636632923,0.006375804529518817,-0.003119686488062142,0.04830107399448751,0.9552
23,137,0.011634600348770618,0.0031403570901602507,0.00927933253115043,0.004208778698305511,0.001548401345485111,0.003047477689191678,0.007613239344209433,0.011033743619918823,-0.0006620683707296848,0.0027540644815011524,0.005440356932767874,-0.0013262032180747529,-0.01254356288909912,0.026089892923831928,0.7878
24,120,0.013271545059978962,-0.005890766158699989,0.013271545059978962,0.004800938104242092,-0.0029045328235598102,0.004800938104242092,0.015574712306261063,0.0029568946920335293,0.013357041287235916,0.0056341013375465635,0.0014579423894016026,0.0045406445454953615,-0.0030593314357101912,0.026729691505432123,0.9406
25,31,0.0010332417441532016,0.0011694973800331354,0.00015611870912835002,0.0003737718282219755,0.0005766386639464025,-5.870716973782635e-05,0.002556333551183343,-0.0031441247556358576,0.002556333551183343,0.0009247453177126965,-0.0015502590508747456,0.0009247453177126965,-0.011153223063796758,0.008496781345456835,0.454
26,17,0.012820851989090443,-0.0014511472545564175,0.012820851989090443,0.004637901357008232,-0.0007155104648744008,0.004637901357008232,1.489877740823431e-05,-0.008064933121204376,1.489877740823431e-05,5.389584094583688e-06,-0.003976539271679785,5.389584094583688e-06,-0.001186025649309158,0.02389076942205428,0.9632
27,141,-0.0009278655052185059,-0.0072770025581121445,-0.0009278655052185059,-0.00033565231775827805,-0.00358803799331765,-0.00033565231775827805,0.00046836017281748354,0.00010656237282091752,0.0003884383932017954,0.00016942776368740538,5.2542216288395024e-05,0.0001300211014711091,-0.010697563104331493,0.009654999673366544,0.4064
28,12,-0.0028690313920378685,-0.008436979725956917,-0.0028690313920378685,-0.001037862740928159,-0.004159982570273769,-0.001037862740928159,-0.0037941276095807552,-0.0012569045647978783,-0.0037941276095807552,-0.0013725132779093382,-0.0006197361202576168,-0.0013725132779093382,-0.011431962262839079,0.005407987654209132,0.2532
29,242,0.007483315654098988,-0.0027106725610792637,0.007483315654098988,0.002707065010702839,-0.0013365387821327422,0.002707065010702839,0.005027668550610542,-0.0027214311994612217,0.005027668550610542,0.0018187426867813403,-0.0013418434941982614,0.0018187426867813403,-0.00225650867074728,0.015774591326713557,0.9268
30,94,0.0007763361791148782,-0.006410954985767603,0.0007763361791148782,0.00028083707866491923,-0.0031610199225147614,0.00028083707866491923,-0.00017765522352419794,-0.001348011544905603,-0.00017765522352419794,-6.426619720464709e-05,-0.000664657817546089,-6.426619720464709e-05,-0.00692175054550171,0.008675398230552672,0.571
31,70,0.0015619326150044799,0.02075565792620182,-0.014004810829646885,0.0005650240249906055,0.010233896253409711,-0.007110398165066678,-0.00034812928061001003,0.028117766603827477,-0.021436454233480617,-0.00012593463089109492,0.01386389712743817,-0.010523857476469722,-0.051391361698508255,0.006111196901649229,0.1692
32,161,-0.002687964355573058,0.0004832869744859636,-0.003050429586437531,-0.0009723623315291437,0.00023829207318308763,-0.0011510813864164594,0.0005084943841211498,-0.006628223694860935,0.0005084943841211498,0.00018394618361972488,-0.0032681475999836833,0.00018394618361972488,-0.012600963436067104,0.0038435696959495435,0.1616
33,123,0.0012724422849714756,-0.003218485042452812,0.0012724422849714756,0.000460301843060473,-0.0015869235335601065,0.000460301843060473,0.00285058980807662,-0.0040153199806809425,0.00285058980807662,0.0010311915581275124,-0.0019798152509854713,0.0010311915581275124,-0.008232991818338632,0.008394107103347778,0.5748
34,44,0.006784732453525066,-0.006504920311272144,0.006784732453525066,0.0024543548182225034,-0.0032073509709474586,0.0024543548182225034,-0.001376404776237905,-0.007703759241849184,-0.001376404776237905,-0.0004979099349199544,-0.003798456937508317,-0.0004979099349199544,-0.0005953384041786193,0.013431859195232378,0.9638
35,202,0.0028799676802009344,-0.0009646964026615024,0.0028799676802009344,0.0010418189074727284,-0.00047565839329102925,0.0010418189074727284,0.0035796284209936857,-0.001778973382897675,0.0035796284209936857,0.0012949188966099008,-0.0008771501776953639,0.0012949188966099008,-0.004142717111855746,0.008757897019386292,0.7782
36,222,0.006386303808540106,-0.0016373067628592253,0.006386303808540106,0.002310224556456819,-0.0008072992725976032,0.002310224556456819,0.007637822534888983,0.0015585500514134765,0.006468909996328875,0.0027629573704846064,0.0007684670651551186,0.0021866070716182674,-0.00012411165237426747,0.01228871667385101,0.9732
37,143,0.00541935907676816,-0.0007827991503290832,0.00541935907676816,0.0019604354560559165,-0.0003859711564051151,0.0019604354560559165,0.0024095536209642887,-0.0015392357017844915,0.0024095536209642887,0.0008716481570775225,-0.0007589438281173956,0.0008716481570775225,-0.0008505499362945555,0.010855504449456927,0.9508
