layer,expert,panel_group,global_target_grad_bf16,global_control_grad_bf16,global_grad_specific_bf16,global_grad_ratio_bf16,scan_peak_gpu_gib,selection_supervised_positions,selection_supervised_selected_hits,selection_supervised_selected_rate,selection_supervised_routing_mass,routing_rank,global_target_grad_rank,global_grad_specific_rank,target_delta_nll,control_delta_nll,causal_specificity,target_relative_delta,control_relative_delta,causal_relative_specificity,renorm_target_delta_nll,renorm_control_delta_nll,renorm_causal_specificity,renorm_target_relative_delta,renorm_control_relative_delta,renorm_causal_relative_specificity,ci_2.5,ci_97.5,p_positive,precise_target_grad_l2,precise_control_grad_l2,precise_grad_dot,precise_grad_cosine,precise_grad_specific,precise_grad_ratio,atlas_order_seed,atlas_lr,atlas_updates,trainable_params,mean_train_grad_norm,parameter_delta_l2,relative_parameter_delta,peak_gpu_gib,delta_merge_max_nll_diff,validation_target_nll,validation_control_nll,validation_target_improvement,validation_control_improvement,validation_utility_score,validation_specific_gain,validation_relative_target_improvement,validation_relative_control_improvement,validation_relative_specific_gain,validation_target_token_acc,validation_control_token_acc,validation_target_seq_exact,validation_control_seq_exact,validation_native_target_nll,validation_native_control_nll,validation_native_target_improvement,validation_native_control_improvement,validation_native_utility_score,validation_native_specific_gain,validation_native_relative_target_improvement,validation_native_relative_control_improvement,validation_native_relative_specific_gain,validation_native_target_token_acc,validation_native_control_token_acc,validation_native_target_seq_exact,validation_native_control_seq_exact
11,134,population_random,0.0319593399763107,0.0814936459064483,-0.0291608944535255,0.3921697160611353,65.11960363388062,330,0,0.0,0.0,6389,4804,8746,0.0436129942536354,-0.0042321062646806,0.0436129942536354,0.0157768583089677,-0.0020867050613448,0.0157768583089677,0.0321193076670169,-0.0120634464547038,0.0321193076670169,0.0116190547041477,-0.0059480677468745,0.0116190547041477,0.0046587943546473,0.0806682479083537,0.9872,0.0330193426094546,0.0692763374616887,0.0004398189630592,0.192274020964673,-0.0189379104868118,0.476632336795207,101.0,1e-05,7.0,3145728.0,0.0372607431241444,0.0992840639226813,0.0022302378719948,64.6339282989502,0.3041626214981079,2.7856109142303467,1.9972273111343384,-0.0051977634429931,0.0192071199417114,-0.0051977634429931,-0.0244048833847045,-0.0018694212554422,0.0095252886211934,-0.0113947098766357,0.6716666221618652,0.813274085521698,0.0,0.0,2.753494501113892,2.018235683441162,0.0269186496734619,-0.0018012523651123,0.0255677103996276,0.0287199020385742,0.0096815286842673,-0.0008932858601065,0.0105748145443739,0.6716666221618652,0.813274085521698,0.0,0.0
12,198,population_random,0.0096422545611858,0.0021508890204131,0.0080290877958759,4.482915885102598,65.1375880241394,330,0,0.0,0.0,6568,7018,4820,0.0053479876369237,0.012430758215487,-0.0039750810246914,0.001934617070664,0.0061291764578524,-0.0026622652727252,0.0142687996849417,-0.0016748624620959,0.0142687996849417,0.0051616917095667,-0.0008258166875154,0.0051616917095667,-0.0342678406797349,0.0234756487980484,0.3806,0.0086775708028987,0.0017970882916933,1.1685293657137663e-06,0.0749328153900758,0.0073297545841288,4.828683620154023,101.0,1e-05,7.0,3145728.0,0.0091811468758221,0.0585449919887119,0.0013972593864583,64.63392782211304,0.670764684677124,2.769509792327881,2.0331597328186035,0.0109033584594726,-0.0167253017425537,-0.0016406178474426,0.0276286602020263,0.0039214885947381,-0.0082944932326058,0.012215981827344,0.6716666221618652,0.813274085521698,0.0,0.0,2.763363838195801,2.010075330734253,0.0170493125915527,0.0063591003417968,0.0170493125915527,0.0106902122497558,0.0061319349560423,0.003153636063635,0.0029782988924072,0.6716666221618652,0.813274085521698,0.0,0.0
13,238,population_random,0.0116673549637198,0.0010826563229784,0.010855362721486,10.776600759921504,65.15807867050171,330,0,0.0,0.0,6736,6711,4455,-0.001924346666783,-0.0224949214607477,-0.001924346666783,-0.0006961261252233,-0.0110914668798465,-0.0006961261252233,-0.0118618933483958,-0.0123906731605529,-0.0118618933483958,-0.0042910011989862,-0.0061094119052198,-0.0042910011989862,-0.0282090714611113,0.0243166752457618,0.426,0.012494366126372,0.0009024312504046,3.4860044628715066e-08,0.0030917159364424,0.0118175426885685,13.84522766352005,101.0,1e-05,7.0,3145728.0,0.0203496169831071,0.0665661730390893,0.0014808302071458,64.6339282989502,0.3117024898529053,2.775843620300293,2.0194084644317627,0.0045695304870605,-0.0029740333557128,0.0023390054702758,0.0075435638427734,0.0016434717573417,-0.0014748971302408,0.0031183688875825,0.6716666221618652,0.812404453754425,0.0,0.0,2.7862138748168945,2.017181634902954,-0.005800724029541,-0.0007472038269042,-0.0063611268997192,-0.0050535202026367,-0.0020862813240177,-0.0003705569669853,-0.0017157243570324,0.6716666221618652,0.813274085521698,0.0,0.0
14,248,population_random,0.0130876656621694,0.0079443976283073,0.0071293674409389,1.647408182829155,65.17856931686401,330,10,0.030303030303030304,0.0021299419981060607,2876,6532,4960,0.0195382758975029,-0.0064230584539473,0.0195382758975029,0.0070679075287459,-0.0031669877235884,0.0070679075287459,-0.003310038940981,0.0063793421722948,-0.0080945455702021,-0.0011973957822139,0.0031454327387931,-0.0035564703363088,-0.0141256272494792,0.0473280672580003,0.8662,0.0142885926518681,0.0066091842944599,6.088355126721012e-07,0.0064470740572424,0.0093317044310231,2.1619298256947497,101.0,1e-05,7.0,3145728.0,0.0121831723621913,0.0455115804575599,0.0010428199423537,64.63392782211304,0.1689627170562744,2.774430513381958,2.0143239498138428,0.0059826374053955,0.002110481262207,0.0059826374053955,0.0038721561431884,0.0021517080667315,0.0010466401632909,0.0011050679034405,0.6716666221618652,0.812404453754425,0.0,0.0,2.7718780040740967,2.0238921642303467,0.0085351467132568,-0.0074577331542968,0.0029418468475341,0.0159928798675537,0.0030697404487674,-0.0036984754075624,0.0067682158563298,0.6716666221618652,0.813274085521698,0.0,0.0
15,68,population_random,0.0,0.0940416455268859,-0.0705312341451644,0.0,65.19905996322632,330,0,0.0,0.0,6959,8531,9320,0.0032800543121993,-0.0022749865893274,0.0032800543121993,0.0011865489406285,-0.0011217171152008,0.0011865489406285,0.0104148145765066,-0.0245722383260726,0.0104148145765066,0.0037675251768346,-0.0121157198985068,0.0037675251768346,-0.0268185127079486,0.0239730796515941,0.5008,0.0,0.0785580242435657,0.0,0.0,-0.0589185181826743,0.0,101.0,1e-05,7.0,3145728.0,0.0,2.573606361774744e-05,5.846540925640724e-07,64.63392782211304,0.0,2.780413150787353,2.01643443107605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6716666221618652,0.813274085521698,0.0,0.0,2.780413150787353,2.01643443107605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6716666221618652,0.813274085521698,0.0,0.0
16,213,population_random,0.1162918508052825,0.0,0.1162918508052825,116291850805.2826,65.21704435348511,330,27,0.08181818181818182,0.007285748106060606,1383,2018,1171,0.0107732284814119,-0.0084380013868212,0.0107732284814119,0.0038971802369933,-0.0041604863158707,0.0038971802369933,0.0213372614234685,0.0021397012751549,0.0197324854671023,0.0077186846704845,0.0010550126110712,0.0069274252121811,-0.0133287342227995,0.0329752622544765,0.8106,0.1319412905454841,0.0019304741602316,-4.245511036060634e-07,-0.0016668067616821,0.1304934349253103,68.34657163258984,101.0,1e-05,7.0,3145728.0,0.1252844626350062,0.0574880674620262,0.0013508281240141,64.6339282989502,0.3455944061279297,2.7728612422943115,2.0140340328216557,0.0075519084930419,0.0024003982543945,0.0075519084930419,0.0051515102386474,0.0027161101906396,0.0011904172123829,0.0015256929782566,0.6716666221618652,0.813274085521698,0.0,0.0,2.770485639572144,2.0024356842041016,0.0099275112152099,0.0139987468719482,0.0099275112152099,-0.0040712356567382,0.0035705165659998,0.0069423268399944,-0.0033718102739946,0.6716666221618652,0.813274085521698,0.0,0.0
17,146,population_random,0.0108384992927312,0.0,0.0108384992927312,10838499292.731283,65.23753499984741,330,1,0.0030303030303030303,0.00016571969696969698,4867,6830,4459,0.0046528279781341,-0.0002957308315671,0.0046528279781341,0.001683145333249,-0.0001458146332895,0.001683145333249,-0.0012749790912494,-0.0035715859849005,-0.0012749790912494,-0.0004612195244508,-0.00176102538207,-0.0004612195244508,-0.0186587094850838,0.0215800504423677,0.5828,0.009048936929505,0.0,0.0,0.0,0.009048936929505,9048936929.505075,101.0,1e-05,7.0,3145728.0,0.0238767513739211,0.0602896643385878,0.0013995707539044,64.63392782211304,0.4558875560760498,2.7849490642547607,2.017642021179199,-0.0045359134674072,-0.0012075901031494,-0.0054416060447692,-0.0033283233642578,-0.0016313811010866,-0.0005988739750416,-0.0010325071260449,0.6716666221618652,0.813274085521698,0.0,0.0,2.7835500240325928,2.022447109222412,-0.0031368732452392,-0.0060126781463623,-0.0076463818550109,0.002875804901123,-0.0011282040024702,-0.0029818366784947,0.0018536326760245,0.6716666221618652,0.812404453754425,0.0,0.0
18,206,population_random,0.2569844424724579,0.0,0.2569844424724579,256984442472.4579,65.25802564620972,330,20,0.06060606060606061,0.007742956912878788,1332,885,515,0.0095122577622532,0.0001722735178191,0.0093830526238889,0.0034410281954199,8.49421066216928e-05,0.0033773216154537,0.0298118405044078,-0.0065644644200801,0.0298118405044078,0.0107843359901478,-0.0032367101092706,0.0107843359901478,-0.0149727538451552,0.0253627541661262,0.728,0.2314966965626582,0.0299425004686378,-2.5372341951879207e-06,-0.0003660392803389,0.2090398212111799,7.73137489961467,101.0,1e-05,7.0,3145728.0,0.2564610413142613,0.0675412747344585,0.0015445376965362,64.63392782211304,0.3323931694030761,2.7713067531585693,1.9962971210479736,0.0091063976287841,0.0201373100280761,0.0091063976287841,-0.0110309123992919,0.0032751958557689,0.0099865930266475,-0.0067113971708786,0.6716666221618652,0.812404453754425,0.0,0.0,2.764434814453125,2.0176842212677,0.0159783363342285,-0.0012497901916503,0.0150409936904907,0.0172281265258789,0.005746748942582,-0.0006198020487993,0.0063665509913813,0.6716666221618652,0.813274085521698,0.0,0.0
19,173,population_random,0.0201981980353593,0.0502468757331371,-0.0174869587644934,0.4019791825909878,65.27851629257202,330,0,0.0,0.0,7618,5719,8402,0.0224078949540853,-0.0079597374424338,0.0224078949540853,0.0081059828554048,-0.0039246709249054,0.0081059828554048,0.0315255224704742,-0.0031733918003737,0.0315255224704742,0.0114042548475422,-0.001564689617256,0.0114042548475422,-0.0004054870605468,0.0503282351791858,0.9712,0.0195218119318284,0.0435927600720426,9.585915540810674e-05,0.1126416766991338,-0.0131727581222035,0.4478223424972025,101.0,1e-05,7.0,3145728.0,0.025838605793459,0.0863787865430676,0.0019884475465671,64.6339282989502,0.2130022048950195,2.778623580932617,2.0214803218841557,0.0017895698547363,-0.0050458908081054,-0.0019948482513427,0.0068354606628417,0.0006436345095798,-0.0025023827853468,0.0031460172949267,0.6716666221618652,0.812404453754425,0.0,0.0,2.783062219619751,2.002413749694824,-0.0026490688323974,0.0140206813812255,-0.0026490688323974,-0.016669750213623,-0.0009527608627686,0.0069532047088402,-0.0079059655716088,0.6716666221618652,0.812404453754425,0.0,0.0
20,61,population_random,0.034190859645605,0.0416457094252109,0.0029565775766968,0.8209935697262024,65.29650068283081,330,16,0.048484848484848485,0.0034638375946969696,2250,4672,5602,0.019032759591937,-0.000219326611841,0.019032759591937,0.0068850386553225,-0.0001081423580584,0.0068850386553225,0.0197086185216903,-0.0008399600046686,0.0197086185216903,0.0071295284170104,-0.0004141551944706,0.0071295284170104,-0.0065517293475568,0.0384103042185306,0.9166,0.0341787406245274,0.0431144598181717,0.0003912867687176,0.2655315661649975,0.0018428957608986,0.7927442618527056,101.0,1e-05,7.0,3145728.0,0.0373912395111152,0.0901682270646077,0.0021465406817873,64.6339282989502,0.4126844406127929,2.786261796951294,2.012300491333008,-0.0058486461639404,0.0041339397430419,-0.0058486461639404,-0.0099825859069824,-0.0021035169403814,0.0020501235643134,-0.0041536405046948,0.6716666221618652,0.813274085521698,0.0,0.0,2.7784619331359863,2.034165382385254,0.0019512176513671,-0.0177309513092041,-0.0113469958305358,0.0196821689605712,0.0007017725588064,-0.0087932198716435,0.0094949924304499,0.6716666221618652,0.813274085521698,0.0,0.0
