layer,expert,target_delta_nll,control_delta_nll,causal_specificity
36,80,0.002473357832059264,0.000758577894885093,0.0019044244108954445
36,81,-0.0014229571679607034,-0.001745611778460443,-0.0014229571679607034
36,88,0.0009362149285152555,0.0003470376250334084,0.0006759367097401991
36,94,1.6163587133632973e-05,-0.00015059500583447516,1.6163587133632973e-05
36,98,-0.0017737043090164661,0.0030150862876325846,-0.004035019024740905
36,104,0.0005757689359597862,0.0016029683174565434,-0.0006264573021326214
36,112,0.0026926363352686167,0.0038216060493141413,-0.00017356820171698928
36,122,0.0012983297929167747,-0.0025408249348402023,0.0012983297929167747
36,138,0.0032719969749450684,0.0019140744116157293,0.0018364411662332714
36,159,-0.0022524583619087934,0.0002663105842657387,-0.0024521913001080975
36,182,0.0013567066052928567,-7.840007310733199e-05,0.0013567066052928567
36,184,-0.0008934271172620356,0.001151353120803833,-0.0017569419578649104
36,190,0.0011622298043221235,-0.0005462029366753995,0.0011622298043221235
36,204,0.00013579607184510678,0.00028367311460897326,-7.695876411162317e-05
36,229,0.6817286014556885,0.6501367092132568,0.19412606954574585
36,235,0.0016054094303399324,0.0013939938507974148,0.0005599140422418714
36,254,0.006772469263523817,0.003504907712340355,0.004143788479268551
38,2,0.0010556161869317293,0.0007227122550830245,0.0005135819956194609
38,23,-0.0017061663093045354,-0.0018281558295711875,-0.0017061663093045354
38,31,0.00022116064792498946,0.0013369950465857983,-0.0007815856370143592
38,47,0.012509929947555065,0.0015220340574160218,0.011368404404493049
38,52,1.2676715414272621e-05,0.0002847176801878959,-0.0002008615447266493
38,60,0.4950798451900482,0.44383132457733154,0.16220635175704956
38,68,-0.00021446823666337878,-0.00012249976862221956,-0.00021446823666337878
38,70,1.0833739906956907e-05,-8.970499038696289e-06,1.0833739906956907e-05
38,71,0.0008166313054971397,0.0018681901274248958,-0.0005845112900715321
38,100,0.00228641158901155,-0.002073745708912611,0.00228641158901155
38,114,0.00025098322657868266,-0.0006887650233693421,0.00025098322657868266
38,125,0.022000234574079514,-0.01152625773102045,0.022000234574079514
38,131,0.00040816186810843647,-0.00017236977873835713,0.00040816186810843647
38,140,0.012993517331779003,-0.0023799159098416567,0.012993517331779003
38,154,-0.00010964750981656834,0.0010807666694745421,-0.000920222511922475
38,157,-1.0967254837623841e-07,-0.0012034231331199408,-1.0967254837623841e-07
38,188,0.0,0.0,0.0
38,201,-0.00033414363861083984,-0.0003494650009088218,-0.00033414363861083984
38,205,0.0007185006397776306,0.0005216175341047347,0.0003272874891990796
38,218,0.0015878987032920122,-0.007276173215359449,0.0015878987032920122
38,234,0.0017371905269101262,0.0039467476308345795,-0.0012228701962158084
38,240,-0.001009210362099111,0.0010993024334311485,-0.0018336871871724725
38,245,-1.8239020960209018e-07,0.002554099541157484,-0.0019157570460777151
39,7,0.0,0.0,0.0
39,13,0.0,3.814697180359872e-08,-2.8610228852699038e-08
39,61,-0.0015377342933788896,0.0002824428665917367,-0.001749566443322692
39,82,0.01148495078086853,-3.3426285881432705e-06,0.01148495078086853
39,93,-1.0910033779509831e-05,-0.0007035207818262279,-1.0910033779509831e-05
39,95,0.013824718073010445,-0.024946121498942375,0.013824718073010445
39,96,-7.629394360719743e-08,2.5553703380865045e-05,-1.924157147925598e-05
39,100,0.0,0.00577925331890583,-0.004334439989179373
39,120,0.016929402947425842,-3.197193109372165e-06,0.016929402947425842
39,131,5.10215784288448e-07,-0.0019552153535187244,5.10215784288448e-07
39,134,2.0503998712229077e-06,-4.1007996287589776e-07,2.0503998712229077e-06
39,147,-4.050135612487793e-05,4.410743770222325e-08,-4.05344367031546e-05
39,157,1.5103817077033455e-06,5.066394859198908e-09,1.5065819115589463e-06
39,173,-7.533192547271028e-05,-0.0005743098445236683,-7.533192547271028e-05
39,181,0.015333853662014008,0.00022457628801930696,0.015165421445999527
39,185,-1.2993812106287805e-06,6.7925452640338335e-06,-6.393790158654156e-06
39,189,-0.00039918304537422955,-0.0006100386381149292,-0.00039918304537422955
39,203,-1.1920928955078125e-07,1.1610984529397683e-06,-9.900331292556075e-07
39,209,0.0,-0.0011310518020763993,0.0
39,235,-2.8610228852699038e-08,1.3709068547029801e-08,-3.889203026297139e-08
39,240,0.022091859951615334,0.0,0.022091859951615334
