layer,expert,panel_group,global_target_grad_bf16,global_control_grad_bf16,global_grad_specific_bf16,global_grad_ratio_bf16,scan_peak_gpu_gib,selection_supervised_positions,selection_supervised_selected_hits,selection_supervised_selected_rate,selection_supervised_routing_mass,routing_rank,global_target_grad_rank,global_grad_specific_rank
13,173,population_random,0.0340330228209495,0.1565957069396972,-0.0834137573838234,0.2173304970221044,65.15010166168213,526,0,0.0,0.0,7250,4255,9305
22,241,population_random,0.0240401308983564,0.2429540008306503,-0.1581753697246313,0.0989493106352034,65.32258033752441,526,27,0.051330798479087454,0.006492469700570342,1527,4835,9627
28,72,population_random,0.0550152361392974,0.1547988951206207,-0.061083935201168,0.3553981189340771,65.43595886230469,526,15,0.028517110266159697,0.003978656725285171,2254,3315,9117
37,46,population_random,0.0650808066129684,0.0191738177090883,0.0507004433311522,3.394253955941498,65.60843753814697,526,23,0.043726235741444866,0.0038027455144961976,2339,2969,2109
30,229,sentinel,5.458874225616455,3.413510799407959,2.898741126060486,1.5991964128432363,65.4753589630127,526,38,0.07224334600760456,0.04117621940351711,130,1,5
25,168,sentinel,4.74584436416626,2.423426628112793,2.928274393081665,1.9583198059765716,65.37926959991455,526,50,0.09505703422053231,0.022499925736692017,326,2,4
24,153,sentinel,4.50364875793457,2.212557077407837,2.8442309498786926,2.0354949501275104,65.35956954956055,526,70,0.13307984790874525,0.02122352513070342,358,3,6
23,28,sentinel,4.110464572906494,2.027817726135254,2.5896012783050537,2.027038485721523,65.34228038787842,526,89,0.16920152091254753,0.0329404185480038,175,4,10
29,194,sentinel,4.033545017242432,2.408039093017578,2.227515697479248,1.6750330295453026,65.45565891265869,526,71,0.13498098859315588,0.024733858870009506,279,5,18
26,134,sentinel,3.863426923751831,2.036298513412476,2.3362030386924744,1.897279253656928,65.39896965026855,526,51,0.09695817490494296,0.019866363177281368,388,6,16
36,252,sentinel,3.836275815963745,1.6889477968215942,2.569564968347549,2.271399875816709,65.58873748779297,526,69,0.1311787072243346,0.030029296875,202,7,11
34,89,sentinel,3.8330392837524414,0.0178237929940223,3.8196714390069246,215.05182902555532,65.55174827575684,526,431,0.8193916349809885,0.18182349839591255,6,8,1
32,227,sentinel,3.7157952785491934,0.050538420677185,3.6778914630413055,73.52416693450652,65.51234817504883,526,177,0.3365019011406844,0.08011386421696769,43,11,2
31,249,sentinel,3.2906301021575928,0.0303341317921876,3.267879503313452,108.47945557144934,65.4950590133667,526,445,0.8460076045627376,0.1934071820045152,1,19,3
32,12,sentinel,2.6811885833740234,0.0289035756140947,2.6595109016634524,92.76321445758384,65.51234817504883,526,475,0.903041825095057,0.18866732637238592,3,32,7
31,38,sentinel,3.8172669410705566,1.6008540391921997,2.616626411676407,2.3845190427194645,65.4950590133667,526,52,0.09885931558935361,0.02204042151853612,337,9,8
6,242,sentinel,0.5168801546096802,0.0168176237493753,0.5042669367976487,30.734434441021683,65.01702308654785,526,461,0.876425855513308,0.19212103433935362,2,407,267
33,154,sentinel,1.9797985553741453,0.029142701998353,1.9579415288753808,67.93462580848197,65.53204822540283,526,420,0.7984790874524715,0.18835031487642587,4,60,26
21,60,sentinel,2.0370776653289795,0.156358852982521,1.9198085255920887,13.028220829578936,65.30288028717041,526,461,0.876425855513308,0.18306972953303233,5,57,32
5,45,sentinel,0.5069783926010132,0.0538647025823593,0.4665798656642437,9.41207076779881,64.99732303619385,526,428,0.8136882129277566,0.1592353849809886,7,418,295
23,176,sentinel,1.433255672454834,0.0977285131812095,1.3599592875689268,14.665685845262024,65.34228038787842,526,475,0.903041825095057,0.15142010010693915,8,114,67
36,229,sentinel,0.4191571772098541,0.3199824392795563,0.1791703477501869,1.3099380645771714,65.58873748779297,526,58,0.11026615969581749,0.02987055905418251,205,511,769
38,60,sentinel,0.8063821196556091,0.6522053480148315,0.3172281086444855,1.2363929889701477,65.62813758850098,526,53,0.10076045627376426,0.047577716551806086,97,238,435
10,66,sentinel,0.8452520966529846,0.0054735136218369,0.8411469614366069,154.42586881055274,65.09341239929199,526,158,0.30038022813688214,0.07058959496791825,62,223,155
9,123,sentinel,0.1158600375056266,0.0573888905346393,0.0728183696046471,2.01885829163531,65.07371234893799,526,0,0.0,0.0,6862,1904,1682
33,234,sentinel,2.170523166656494,1.2498475313186646,1.2331375181674955,1.7366303587164145,65.53204822540283,526,50,0.09505703422053231,0.02252963105988593,324,51,82
9,222,sentinel,0.0013461639173328,0.0058922050520777,-0.0030729898717254,0.2284652189132019,65.07371234893799,526,0,0.0,0.0,6894,7665,6916
36,95,sentinel,0.0050400444306433,0.4058881402015686,-0.2993760607205331,0.0124173237191112,65.58873748779297,526,0,0.0,0.0,9695,6984,9827
33,1,sentinel,0.006793669424951,2.6336731910705566,-1.9684612238779664,0.0025795415497953,65.53204822540283,526,2,0.0038022813688212928,0.00021536359315589353,5758,6726,9984
