layer,expert,target_delta_nll,control_delta_nll,causal_specificity,target_relative_delta,control_relative_delta,causal_relative_specificity,renorm_target_delta_nll,renorm_control_delta_nll,renorm_causal_specificity,renorm_target_relative_delta,renorm_control_relative_delta,renorm_causal_relative_specificity,ci_2.5,ci_97.5,p_positive
12,67,0.011839589104056358,0.025197267532348633,-0.007058361545205116,0.0066042755823595475,0.01127446049063559,-0.001851569785617145,-0.006256067659705877,0.041593801230192184,-0.037451418582350016,-0.0034897152699690593,0.018611052489049047,-0.017448004636755846,-0.04306342337280512,0.028712100841104975,0.3568
13,64,-0.006209128070622683,0.001644679345190525,-0.007442637579515576,-0.003463531761461832,0.0007359080611939119,-0.004015462807357266,-0.0003400146961212158,0.014396317303180695,-0.011137252673506737,-0.00018966458510518745,0.006441599686830618,-0.00502086435022815,-0.040768901482224465,0.016712808728218034,0.2316
14,245,0.010049618780612946,0.015477936714887619,-0.0015588337555527687,0.005605807037854451,0.0069255678515349256,0.00041163114920325736,0.001109156641177833,0.001600263174623251,-9.104073978960514e-05,0.0006187018871991949,0.0007160341459146789,8.167627776318564e-05,-0.024580237142741677,0.018956556746736138,0.4432
15,174,2.2637843358097598e-05,0.02023078128695488,-0.015150448121858062,1.2627681147814651e-05,0.009052217428799999,-0.006776535390452185,0.006174771580845118,0.013097601011395454,-0.0036484291777014732,0.003444367268121787,0.005860492013092605,-0.0009510017416976668,-0.052498839940875765,0.015675800990313286,0.1876
16,213,-0.011801619082689285,0.012936792336404324,-0.021504213334992528,-0.006583095414469235,0.005788538534390545,-0.010924499315262143,-0.0021266972180455923,-0.018987735733389854,-0.0021266972180455923,-0.001186299151496603,-0.00849601950123754,-0.001186299151496603,-0.048123368004336954,0.0016457278095185657,0.0346
17,109,0.005300653167068958,0.0025274138897657394,0.0034050927497446537,0.0029567727371414094,0.0011308856409555058,0.0021086085064247802,-0.001766607747413218,0.02025984786450863,-0.01696149364579469,-0.0009854365981207098,0.009065223203327217,-0.007784354000616122,-0.012653828073292971,0.016398654494434586,0.6388
18,76,0.003009326523169875,0.006423247046768665,-0.0018081087619066238,0.0016786411674969861,0.002874067394705116,-0.0004769093785318506,-0.00896928645670414,0.018881360068917274,-0.023130306508392096,-0.005003183726781922,0.008448421950244303,-0.011339500189465149,-0.025776340881362558,0.015133770747110226,0.3852
19,188,0.003206329420208931,0.00013134210894349962,0.0031078228385013063,0.001788531925625017,5.876873022597207e-05,0.001744455377955538,-0.006307551637291908,0.01207627635449171,-0.015364758903160691,-0.003518433697024748,0.005403502600348139,-0.007571060647285853,-0.018060567717999215,0.017562466084957113,0.5438
20,124,0.016093917191028595,-0.01076109055429697,0.016093917191028595,0.008977394687862197,-0.004815025682241677,0.008977394687862197,0.026213841512799263,-0.014343260787427425,0.026213841512799263,0.014622419063809356,-0.006417859668597963,0.014622419063809356,-0.019413223147392272,0.04043765906244516,0.7952
21,105,-0.01316798571497202,-0.009423489682376385,-0.01316798571497202,-0.007345272353789202,-0.004216519190879171,-0.007345272353789202,0.003964289557188749,0.02041267789900303,-0.011345218867063522,0.00221133187088179,0.009133606657345692,-0.004638873122127479,-0.030725672399625183,0.002471000522375102,0.046
