layer,expert,panel_group,selection_supervised_routing_mass,selection_supervised_selected_rate,global_target_grad_bf16,global_control_grad_bf16,global_grad_specific_bf16,precise_target_grad_l2,precise_control_grad_l2,precise_grad_dot,precise_grad_cosine,precise_grad_specific,precise_grad_ratio
35,45,population_random,0.0018686504871673003,0.022813688212927757,0.0513261556625366,0.0016642159316688,0.0500779937137849,0.0427966566239973,0.001384706413153,-1.6638669109170226e-07,-0.0028077021802866,0.0417581268141325,30.90666453666615
36,149,population_random,0.0025917894486692013,0.028517110266159697,0.0111779328435659,0.0030530293006449,0.0088881608680821,0.0099424374458701,0.0046049215846535,2.8039503376930952e-05,0.6124282434519919,0.0064887462573799,2.1590894135624987
37,107,population_random,0.0005913215898288973,0.005703422053231939,0.0173001643270254,0.012224594131112,0.0081317187286913,0.022689461144068,0.0134589734067894,8.083645116130356e-05,0.2647104718714644,0.0125952310889759,1.6858240563085165
38,0,population_random,0.0034309648288973382,0.028517110266159697,0.081121951341629,0.0140417842194437,0.0705906131770461,0.1393865283391431,0.0118204696521756,2.153465402443544e-06,0.0013070203969135,0.1305211761000113,11.791961946427042
39,13,population_random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,127,population_random,0.0,0.0,0.0511392205953598,0.1426265686750412,-0.0558307059109211,0.049809296712581,0.122158080020214,0.0009757280931808,0.1603600568172918,-0.0418092633025794,0.4077445937586052
27,70,population_random,0.0006047818144011407,0.011406844106463879,1.099011569749564e-05,0.1019219681620597,-0.0764304860058473,9.123673070232094e-06,0.1671416801429316,-1.3338245230531951e-09,-0.0008746699770281,-0.1253471364341285,5.45864625889567e-05
23,213,population_random,0.002513812975285171,0.024714828897338403,0.0034072080161422,0.015980526804924,-0.0085781870875507,0.0028413497928982,0.013322637825562,-5.143856185441109e-08,-0.0013588574317025,-0.0071506285762732,0.2132723136279608
6,169,population_random,0.006221872772100761,0.07984790874524715,0.0558497160673141,0.0069400900974869,0.0506446484941989,0.0466088672526201,0.0058004874092192,-4.1238673986754293e-07,-0.0015253575483926,0.0422585016957057,8.0353363357888
19,155,population_random,0.00040844819391634983,0.005703422053231939,0.0473819747567176,0.0032951107714325,0.0449106416781432,0.0395835671403582,0.0044055627344814,1.425078380634659e-05,0.0817188851013158,0.0362793950894971,8.98490601928345
13,173,population_random,0.0,0.0,0.0340330228209495,0.1565957069396972,-0.0834137573838234,0.0314696835213508,0.1661150746638363,0.0001504274405306,0.0287756832998719,-0.0931166224765264,0.1894450794718415
22,241,population_random,0.006492469700570342,0.051330798479087454,0.0240401308983564,0.2429540008306503,-0.1581753697246313,0.0273809610856837,0.2017256189457726,-1.6586062884016428e-05,-0.0030028494766358,-0.1239132531236457,0.1357336823584538
28,72,population_random,0.003978656725285171,0.028517110266159697,0.0550152361392974,0.1547988951206207,-0.061083935201168,0.0459509951915255,0.1299776666655899,1.65635015036969e-07,2.7732466274180167e-05,-0.0515322548076669,0.3535299284099011
37,46,population_random,0.0038027455144961976,0.043726235741444866,0.0650808066129684,0.0191738177090883,0.0507004433311522,0.0571584747284537,0.0159958539657762,-4.604576645306224e-06,-0.0050361846463085,0.0451615842541215,3.5733306172445114
30,229,sentinel,0.04117621940351711,0.07224334600760456,5.458874225616455,3.413510799407959,2.898741126060486,5.450776482528476,4.028725827238087,12.345168516039848,0.5621742334544312,2.4292321120999114,1.3529777692178997
25,168,sentinel,0.022499925736692017,0.09505703422053231,4.74584436416626,2.423426628112793,2.928274393081665,4.527547125736964,2.961663833950265,7.175014495849609,0.5350865582749625,2.306299250274266,1.5287174303292204
24,153,sentinel,0.02122352513070342,0.13307984790874525,4.50364875793457,2.212557077407837,2.8442309498786926,4.3993745554379,2.844166400312189,7.745699882507324,0.6190343170695883,2.2662497552037584,1.5468063172933402
23,28,sentinel,0.0329404185480038,0.16920152091254753,4.110464572906494,2.027817726135254,2.5896012783050537,4.041774171533377,2.680286618535072,6.146164655685425,0.5673498030380911,2.031559207632073,1.5079634183828172
29,194,sentinel,0.024733858870009506,0.13498098859315588,4.033545017242432,2.408039093017578,2.227515697479248,3.890162735405895,3.4044198535410657,4.283368349075317,0.3234257093739631,1.3368478452500958,1.1426800755372306
