layer,expert,precise_target_grad_l2,precise_control_grad_l2,precise_grad_dot,precise_grad_cosine,precise_grad_specific,precise_grad_ratio,precise_target_orthogonal_l2,precise_target_orthogonal_fraction,precise_abs_grad_cosine
24,208,0.3056174172589963,0.0,0.0,0.0,0.3056174172589963,305617417258.99634,0.3056174172589963,1.0,0.0
24,235,0.37860467058238945,0.08497491946214127,0.0001281842314710957,0.003984353610757814,0.3148734809857835,4.455487254055157,0.37860166538193896,0.9999920624316497,0.003984353610757814
25,129,0.26074676652523704,0.02777050772436637,7.13765275577316e-05,0.009857179482067555,0.23991888573196227,9.389340990948595,0.2607340986197525,0.9999514168261668,0.009857179482067555
25,244,0.34609908256986444,0.004752940864423216,-7.478111399450427e-06,-0.0045459962325701125,0.34253437692154703,72.81788104869399,0.346095506295421,0.9999896669057402,0.0045459962325701125
26,76,0.2839595886180799,0.062332523116061876,0.00020171534561086446,0.011396400250197423,0.23721019628103351,4.555560635413353,0.2839411479762857,0.9999350589219969,0.011396400250197423
26,206,0.11707327361971283,0.0,0.0,0.0,0.11707327361971283,117073273619.71283,0.11707327361971283,1.0,0.0
27,74,0.09867333769374845,0.0,0.0,0.0,0.09867333769374845,98673337693.74844,0.09867333769374845,1.0,0.0
27,247,0.4791889358266144,0.0332350139492607,0.00013185610441723838,0.008279375757964709,0.4542626753646689,14.418195718038977,0.47917251180848397,0.9999657253811545,0.008279375757964709
28,75,0.24707712005765967,0.002011056913022901,1.556155490689548e-06,0.003131814983410714,0.24556882737289248,122.85933746320919,0.24707590835574286,0.9999950958554296,0.003131814983410714
28,198,0.11226444559997557,0.0,0.0,0.0,0.11226444559997557,112264445599.97557,0.11226444559997557,1.0,0.0
29,161,0.06911738295994774,0.0,0.0,0.0,0.06911738295994774,69117382959.94774,0.06911738295994774,1.0,0.0
29,197,0.07306234532512024,0.0,0.0,0.0,0.07306234532512024,73062345325.12024,0.07306234532512024,1.0,0.0
30,229,0.8985946960901093,1.8440037735564057,0.8489161627367139,0.512317446924683,-0.48440813407719496,0.48730632169833527,0.7717096687199642,0.8587961536805895,0.512317446924683
31,55,0.1287818004514931,0.0,0.0,0.0,0.1287818004514931,128781800451.4931,0.1287818004514931,1.0,0.0
31,156,0.1278906901085,0.0,0.0,0.0,0.1278906901085,127890690108.49998,0.1278906901085,1.0,0.0
32,238,0.30037926155096206,0.045185061897987815,0.0002201377646997571,0.01621921106575001,0.2664904651274712,6.647755893805488,0.3003397496463195,0.9998684599448092,0.01621921106575001
37,169,0.13410941634054746,0.0,0.0,0.0,0.13410941634054746,134109416340.54747,0.13410941634054746,1.0,0.0
39,183,0.07891598909299952,0.0,0.0,0.0,0.07891598909299952,78915989092.99951,0.07891598909299952,1.0,0.0
39,245,0.19431657071633357,0.0,0.0,0.0,0.19431657071633357,194316570716.3336,0.19431657071633357,1.0,0.0
