method,family,lr,updates,generation_accuracy,control_abs_shift,target_improvement,trainable_params,control_improvement,specific_gain,selective_target_gain,relative_target_improvement,relative_control_improvement,target_nll,control_nll,parameter_delta_l2,peak_gpu_gib,train_wall_seconds
gradient_specific_experts,full_expert,1e-05,2,0.796875,0.002276182174682617,0.0022243857383728027,12582912,-0.002276182174682617,0.00450056791305542,-5.179643630981445e-05,0.002284727534043169,-0.0013099522341498112,0.9713646769523621,1.7398831844329834,0.05577428444638296,63.13094615936279,325.4092786312103
gradient_specific_experts,full_expert,1e-05,4,0.78125,0.0044519901275634766,0.009997010231018066,12582912,-0.0044519901275634766,0.014449000358581543,0.00554502010345459,0.010268203099353904,-0.0025621386894605033,0.9635920524597168,1.7420589923858643,0.08860477280121665,63.13094615936279,325.4092786312103
gradient_specific_experts,full_expert,1e-05,8,0.828125,0.0001939535140991211,0.030027031898498535,12582912,0.0001939535140991211,0.029833078384399414,0.029833078384399414,0.030841587122509367,0.0001116210477093193,0.9435620307922363,1.7374130487442017,0.14317376580733632,63.13094615936279,325.4092786312103
gradient_specific_experts,full_expert,1e-05,16,0.828125,0.002279996871948242,0.06428706645965576,12582912,-0.002279996871948242,0.066567063331604,0.06200706958770752,0.06603100725267376,-0.00131214760816745,0.9093019962310791,1.739886999130249,0.23982777146225068,63.13094615936279,325.4092786312103
gradient_specific_experts,full_expert,1e-05,32,0.796875,0.004043102264404297,0.12073254585266113,12582912,-0.004043102264404297,0.12477564811706543,0.11668944358825684,0.12400770559088788,-0.002326822036944852,0.8528565168380737,1.741650104522705,0.4149545336644582,63.13094615936279,325.4092786312103
gradient_specific_experts,full_expert,1e-05,64,0.828125,0.0010640621185302734,0.21139675378799438,12582912,0.0010640621185302734,0.2103326916694641,0.2103326916694641,0.21713139751565344,0.000612372140045104,0.7621923089027405,1.7365429401397705,0.750134493272556,63.13094615936279,325.4092786312103
contrastive_experts,full_expert,1e-05,0,0.8125,0.0,0.0,12582912,0.0,0.0,0.0,0.0,0.0,0.9735890626907349,1.7376070022583008,,,
contrastive_experts,full_expert,1e-05,1,0.8125,0.0007108449935913086,0.002382338047027588,12582912,-0.0007108449935913086,0.0030931830406188965,0.0016714930534362793,0.0024469646777290767,-0.00040909422709936756,0.9712067246437073,1.738317847251892,0.034788788597321485,63.13094615936279,325.8587658405304
contrastive_experts,full_expert,1e-05,2,0.796875,0.001137852668762207,0.005377292633056641,12582912,-0.001137852668762207,0.006515145301818848,0.004239439964294434,0.005523164586704856,-0.0006548389061988032,0.9682117700576782,1.738744854927063,0.057676453033427146,63.13094615936279,325.8587658405304
contrastive_experts,full_expert,1e-05,4,0.796875,0.009362339973449707,0.017721951007843018,12582912,0.009362339973449707,0.00835961103439331,0.00835961103439331,0.018202701413740592,0.00538806528822791,0.9558671116828918,1.728244662284851,0.09858338727576563,63.13094615936279,325.8587658405304
contrastive_experts,full_expert,1e-05,8,0.828125,0.03347063064575195,0.04516196250915527,12582912,0.03347063064575195,0.01169133186340332,0.01169133186340332,0.04638708900892941,0.019262486052514443,0.9284271001815796,1.7041363716125488,0.17082615754359573,63.13094615936279,325.8587658405304
contrastive_experts,full_expert,1e-05,16,0.828125,0.0665121078491211,0.09929525852203369,12582912,0.0665121078491211,0.0327831506729126,0.0327831506729126,0.10198888044983646,0.03827799252804453,0.8742938041687012,1.6710948944091797,0.30420284590541047,63.13094615936279,325.8587658405304
contrastive_experts,full_expert,1e-05,32,0.796875,0.10949516296386719,0.17414087057113647,12582912,0.10949516296386719,0.06464570760726929,0.06464570760726929,0.17886485915305844,0.06301491811529336,0.7994481921195984,1.6281118392944336,0.5413454957482567,63.13094615936279,325.8587658405304
