layer,attention_target_grad_l2,attention_control_grad_l2,attention_grad_dot,attention_grad_cosine,attention_abs_grad_cosine,attention_target_orthogonal_l2,attention_target_orthogonal_fraction,attention_grad_ratio
23,1.5187877365808606,2.871206268389373,1.017099242657423,0.23323936784914626,0.23323936784914626,1.4768985875227314,0.9724193525867997,0.5289720050076054
24,1.668307098091248,3.2035772609095634,1.351873405277729,0.252944257673719,0.252944257673719,1.6140551756966797,0.9674808538208347,0.5207638093975794
25,1.4120515571460301,2.440491222569008,0.7493805307894945,0.21745760555886215,0.21745760555886215,1.3782608341825067,0.976069766863315,0.5785931717709851
26,1.243328128605441,2.3035657189278376,0.5357038928195834,0.18704169796393094,0.18704169796393094,1.2213858429847573,0.9823519752221042,0.5397406804541226
27,1.211584424444545,2.2471855561745726,0.5005112190265208,0.1838320373272612,0.1838320373272612,1.1909362035014206,0.982957670529158,0.5391563776809377
28,1.2432642654346118,2.25536406392672,0.48306154273450375,0.17227503889371729,0.17227503889371729,1.2246760816668762,0.9850488876061779,0.5512477055564435
29,0.9969720222231239,1.533555057249343,0.3577457554638386,0.233987224633627,0.233987224633627,0.9692957513141572,0.9722396714330539,0.65010513806442
30,1.138440509407868,1.672321028349672,0.49782512336969376,0.261485022611473,0.261485022611473,1.0988313562545802,0.9652075336164122,0.6807547654475504
31,0.9199657247503895,1.4683490571159068,0.463567147962749,0.34317188089945894,0.34317188089945894,0.8640986192793255,0.9392726229162264,0.6265306742231549
32,0.937705069206917,1.7262876818367863,0.4695403501391411,0.29006376789048677,0.29006376789048677,0.897390615243684,0.9570073200123257,0.5431916586513823
33,0.5998095355370529,1.0605644308923852,0.18226693337783217,0.2865216630497532,0.2865216630497532,0.5746617791878746,0.9580737636545548,0.5655569035365373
34,0.7150590994350349,1.2480655901584694,0.28864432498812675,0.3234325136862168,0.3234325136862168,0.6766255594717744,0.9462512399413885,0.5729339107439613
35,0.6829444471881987,1.0621232458726195,0.23877359298057854,0.32917436185621246,0.32917436185621246,0.6448833769306354,0.944269156277253,0.6429992468778536
36,1.0103039588531793,1.9192059211330141,0.7299241721630096,0.37644723913246403,0.37644723913246403,0.9359840380869815,0.9264380584526659,0.5264176958438176
37,1.3219230579992123,2.83353267463974,1.8597187101840973,0.49649268862872414,0.49649268862872414,1.1474832856148383,0.8680409034937357,0.4665282563458765
38,0.956817143682581,1.832870543293366,0.9375160932540894,0.5345865055696831,0.5345865055696831,0.8086193343384546,0.8451137604268405,0.5220320372233253
39,1.0948735256727362,1.9370933075115595,1.0334395915269852,0.4872710395682933,0.4872710395682933,0.9560991660796965,0.873250785283377,0.5652146550847744
