layer,expert,target_delta_nll,control_delta_nll,causal_specificity,renorm_causal_specificity,ci_2.5,ci_97.5,p_positive,selection_supervised_selected_rate,selection_supervised_routing_mass,hybrid_causal_exposure
8,65,0.09083151072263718,0.06898844987154007,0.039090173318982124,0.04315072298049927,-0.041865987926721575,0.12166752485930918,0.8281,0.32298136645962733,0.03925053377329193,0.007744446422830443
27,40,0.06347551196813583,0.04123253375291824,0.03255111165344715,0.03549652174115181,-0.02406277633178979,0.08691977519076317,0.8687,0.0,0.0,3.255111165344715e-08
25,224,0.03346249461174011,0.001486350316554308,0.03234773187432438,0.02123362384736538,-0.022796473585069178,0.07412016615271566,0.8618,0.30434782608695654,0.027756211180124224,0.00538919534787607
27,118,0.024515843018889427,-0.03806626424193382,0.024515843018889427,0.04757644981145859,-0.016226966500282287,0.0649940025806427,0.8852,0.13664596273291926,0.011324485636645962,0.0026088918403051236
33,142,0.037997011095285416,0.0203035157173872,0.022769374307245016,0.03143878001719713,-0.010462156739551578,0.052959255937021214,0.9079,0.3416149068322981,0.03957656007375776,0.004529707075857429
16,17,0.023667141795158386,0.0018994611455127597,0.022242545936023816,-0.0016349244397133589,-0.06727030948689208,0.09182035951316352,0.6305,0.32919254658385094,0.045473845108695655,0.004743133355808098
3,114,0.0187845416367054,-0.048416975885629654,0.0187845416367054,-0.023375535383820534,-0.05985656702518463,0.09808591747283935,0.6679,0.006211180124223602,0.0005216420807453416,0.00042902925969046964
38,210,0.016305631026625633,-3.384113369975239e-05,0.016305631026625633,0.02173669493640773,-0.00755796068906784,0.049941836804151526,0.8765,0.39751552795031053,0.06917368255046584,0.004288526113356733
25,46,0.015749072656035423,-0.010108035057783127,0.015749072656035423,0.012442572042346,-0.047337512847967445,0.06984263932704925,0.6768,0.14285714285714285,0.013347365100931678,0.0018195029191304982
32,240,0.013177802786231041,-0.009312471374869347,0.013177802786231041,0.025801698211580515,-0.0019531694650650024,0.027099420309066768,0.9559,0.18012422360248448,0.018345424107142856,0.0017848711995424663
36,13,0.010067994706332684,-0.003219644073396921,0.010067994706332684,0.007076307665556669,-0.007160251781344414,0.023962098874151697,0.8589,0.08695652173913043,0.008174919934006212,0.0009103003976988404
38,149,0.0009056568378582597,0.0,0.0009056568378582597,-0.0008356952457688749,-9.347081184387207e-05,0.0024973477125167847,0.9157,0.006211180124223602,0.0004397564052795031,1.899195873119108e-05
13,197,0.0023931432515382767,0.004051112104207277,-0.0006451908266171813,-0.04754243232309818,-0.09411548878997564,0.07047752672433853,0.4043,0.0,0.0,0.0
28,223,-0.002083771163597703,-0.00024621293414384127,-0.002083771163597703,-0.012364795431494713,-0.03677294914610684,0.02054347729682922,0.332,0.037267080745341616,0.004000266886645963,0.0
11,180,-0.0022739721462130547,-0.006768964696675539,-0.0022739721462130547,-0.02702690428122878,-0.08704840505123139,0.06653615009784698,0.4242,0.32298136645962733,0.028637240392080744,0.0
34,228,-0.002573936013504863,-0.009193276055157185,-0.002573936013504863,0.001983041875064373,-0.024422675234265626,0.01796500039100646,0.3941,0.08695652173913043,0.007516801727484472,0.0
15,12,0.09013666957616806,0.12995827198028564,-0.007332034409046173,0.018512867391109467,-0.10530297329276801,0.08997447916027157,0.4399,0.33540372670807456,0.04677795031055901,0.0
16,169,0.049499887973070145,0.07896695286035538,-0.009725326672196388,-0.04413079656660557,-0.09074823167920112,0.07169971622526641,0.4044,0.024844720496894408,0.0029023922748447205,0.0
14,88,0.02450067549943924,0.08336183428764343,-0.038020700216293335,-0.031901839189231396,-0.11995533477235586,0.04083984197489916,0.1809,0.055900621118012424,0.005804784549689441,0.0
4,75,-0.05540609359741211,-0.03201237693428993,-0.05540609359741211,-0.005916106514632702,-0.16736563073005528,0.056133193910121885,0.1591,0.3105590062111801,0.047141886645962736,0.0
6,179,-0.055891599506139755,-0.042589474469423294,-0.055891599506139755,-0.006112146191298962,-0.13955936610884964,0.02919433248043059,0.0937,0.37888198757763975,0.041904236218944096,0.0
