layer,expert,target_delta_nll,control_delta_nll,causal_specificity,ci_2.5,ci_97.5,p_positive,renorm_target_delta_nll,renorm_control_delta_nll,renorm_causal_specificity
27,176,0.0019670678302645683,-0.010739977471530437,0.0019670678302645683,-0.0414315060377121,0.04848352682590481,0.4954,,,
25,14,-0.0005066132289357483,-0.032439935952425,-0.0005066132289357483,-0.029223571240901948,0.02641370260715482,0.49,,,
38,248,0.0001177501690108329,-0.00405188649892807,0.0001177501690108329,-0.0037259284295141698,0.0038627469539642303,0.487,,,
38,205,7.6055525823903736e-06,-0.0019434738205745816,7.6055525823903736e-06,-0.0033399197757244094,3.544378280639648e-05,0.48,,,
25,247,-0.0010530829895287752,-0.017269957810640335,-0.0010530829895287752,-0.028072049558162688,0.024679280654527225,0.4722,,,
36,245,0.0007967805722728372,-0.001394808990880847,0.0007967805722728372,-0.012264655902981758,0.010792254328727715,0.4666,,,
36,200,0.0033867359161376953,0.004675520583987236,-0.0001199045218527317,-0.01245786550361663,0.009806841519661238,0.4646,,,
24,192,-0.0009345078724436462,-0.022833580151200294,-0.0009345078724436462,-0.024956176481209697,0.02125869554281232,0.4642,,,
24,141,-0.0002579164574854076,-0.00542476074770093,-0.0002579164574854076,-0.017455990152433515,0.014910653471946712,0.4446,,,
25,124,0.003008847124874592,0.004712688736617565,-0.000525669427588582,-0.05857604224793613,0.050081049516797045,0.4338,,,
16,87,-0.002059731399640441,-0.01542959176003933,-0.002059731399640441,-0.06731483434606343,0.058009663105010975,0.4336,,,
27,130,0.0019239378161728382,0.003314982634037733,-0.0005622991593554616,-0.018012467905879022,0.014376739069819448,0.4198,,,
24,145,-0.002213356550782919,-0.019875017926096916,-0.002213356550782919,-0.023163679003715517,0.01901883828639982,0.4168,,,
8,168,-0.006874494720250368,-0.011989410035312176,-0.006874494720250368,-0.08978470838069916,0.06396782147884367,0.4088,,,
24,233,-0.005043728277087212,-0.02563992515206337,-0.005043728277087212,-0.05330321317911148,0.035805966615676844,0.403,,,
16,169,0.049499887973070145,0.07896695286035538,-0.009725326672196388,-0.09128991632070393,0.07102727808058262,0.4026,,,
16,189,0.0021289633587002754,0.004358446225523949,-0.001139871310442686,-0.07429863053653388,0.0599759524767287,0.3994,,,
25,136,-0.0031020021997392178,-0.02379232458770275,-0.0031020021997392178,-0.02850259816646576,0.019371525287628158,0.3948,,,
27,34,-0.0008856391650624573,-0.0043268511071801186,-0.0008856391650624573,-0.013926528891548514,0.00970034182071684,0.3912,,,
24,195,-0.003308055456727743,-0.040629204362630844,-0.003308055456727743,-0.026092884361743927,0.018947899937629683,0.3888,,,
24,50,-0.004423065111041069,-0.019897527992725372,-0.004423065111041069,-0.04102866208553314,0.030012857675552333,0.3832,,,
33,205,0.0001151418691733852,0.0002519045665394515,-7.378655573120341e-05,-0.017548954828642306,0.011188165485858912,0.3802,,,
33,236,-0.0019716524984687567,-0.012955931015312672,-0.0019716524984687567,-0.016957931612618268,0.011924126863479604,0.3758,,,
25,248,-0.006082685198634863,-0.03414423391222954,-0.006082685198634863,-0.042658839225769046,0.029367404282093036,0.3702,,,
8,200,0.012077171355485916,0.031685102730989456,-0.011686655692756176,-0.09822217824310064,0.07181682996451845,0.3684,,,
36,133,0.0007240939303301275,0.0023915537167340517,-0.0010695713572204113,-0.016035359002649782,0.009366151716560118,0.3588,,,
16,3,-0.008787598460912704,-0.0030619578901678324,-0.008787598460912704,-0.09802202770113945,0.08253246033191669,0.3516,,,
25,205,-0.003975870553404093,-0.01759464666247368,-0.003975870553404093,-0.026576584815979,0.01681926035881042,0.3426,,,
38,245,-1.0251999356114538e-06,0.0002200651215389371,-0.00016607404108981427,-0.004852409720420837,0.0035815958976745605,0.3358,,,
16,63,-0.006114392075687647,-0.020268168300390244,-0.006114392075687647,-0.042030407071113586,0.026181003972887966,0.3344,,,
33,127,-0.0020107077434659004,-0.006022831425070763,-0.0020107077434659004,-0.015347245715558528,0.01018160033226013,0.334,,,
33,214,-0.0004260754503775388,0.0021972376853227615,-0.00207400371436961,-0.01411828527972102,0.007293229099363081,0.3136,,,
8,208,-0.004968049470335245,0.014702243730425835,-0.01599473226815462,-0.09281972274184228,0.05446948438882826,0.3118,,,
8,0,-0.011983518488705158,0.004220564384013414,-0.015148941776715219,-0.11269325470924377,0.060655340194702145,0.3088,,,
16,111,-0.016110045835375786,-0.04487620294094086,-0.016110045835375786,-0.07861501598358155,0.046920239329338066,0.3018,,,
25,223,-0.00615239841863513,-0.01375946868211031,-0.00615239841863513,-0.033670473436824985,0.02217643956840037,0.3012,,,
24,36,-0.006497357040643692,-0.026288295164704323,-0.006497357040643692,-0.030439156234264374,0.015117334008216857,0.294,,,
8,118,-0.004221565555781126,0.01222667470574379,-0.013391571585088968,-0.09138013879023492,0.04715925305709241,0.2878,,,
38,97,-1.7416477930964902e-05,0.0012149048270657659,-0.0009285950982302893,-0.006206284999847413,0.002849414408206935,0.278,,,
33,12,-0.003352694446220994,-0.0036487411707639694,-0.003352694446220994,-0.019968014484271407,0.00938611721992491,0.2656,,,
25,152,-0.007469737436622381,-0.012531377375125885,-0.007469737436622381,-0.03804801914095879,0.019170902252197242,0.2642,,,
24,169,-0.011259040795266628,-0.024284012615680695,-0.011259040795266628,-0.04736490082740784,0.020754540801048275,0.25,,,
36,38,-0.0021136761642992496,-7.312103844014928e-05,-0.0021136761642992496,-0.016665194937959312,0.006484292387962329,0.2476,,,
8,249,-0.01390960905700922,0.007745046634227037,-0.019718394032679498,-0.09605205549299717,0.043198033988475784,0.238,,,
27,0,-0.001748957671225071,-0.005619557108730078,-0.001748957671225071,-0.006448158264160156,0.0016324342489242554,0.2372,,,
8,218,-0.016833558678627014,-0.004011213779449463,-0.016833558678627014,-0.09421924641728402,0.037989146590232836,0.2284,,,
27,160,-0.005660546012222767,-0.003637373447418213,-0.005660546012222767,-0.03165442042425275,0.012003028993494804,0.218,,,
24,214,-0.012786753475666046,-0.024351000785827637,-0.012786753475666046,-0.046905553948134185,0.017498424828052507,0.21,,,
8,242,-0.013822069391608238,0.010153498500585556,-0.021437193267047405,-0.08943279001116752,0.029662498112767922,0.2094,,,
36,189,-0.003347473219037056,-0.0016243353020399809,-0.003347473219037056,-0.014978358071297406,0.005598168551921838,0.2072,,,
24,234,-0.00960413459688425,-0.012769878841936588,-0.00960413459688425,-0.03658742940425873,0.013100545406341549,0.1998,,,
33,103,-0.00013290643983054906,0.008751754648983479,-0.006696722426568158,-0.024697819374501707,0.00810618018358942,0.1964,,,
16,158,-0.02384965680539608,-0.0021747492719441652,-0.02384965680539608,-0.10518769895564765,0.0356557668969034,0.1786,,,
25,102,-0.017344970256090164,-0.017859984189271927,-0.017344970256090164,-0.06108070555329322,0.016246477127075182,0.176,,,
8,68,-0.02384769730269909,0.0036360006779432297,-0.02657469781115651,-0.10147250291798263,0.03282069833576678,0.1664,,,
8,191,-0.014764134772121906,0.018126044422388077,-0.028358668088912964,-0.0998043222874403,0.033341861404478534,0.1644,,,
33,114,-0.007253236602991819,-0.013728425838053226,-0.007253236602991819,-0.022954949282109737,0.007365249037742608,0.1624,,,
36,190,-0.004000048618763685,-0.012492699548602104,-0.004000048618763685,-0.01195437467098236,0.004060496211051939,0.1578,,,
25,116,-0.015712616965174675,-0.014391210861504078,-0.015712616965174675,-0.04883658449538052,0.01527433055639266,0.1442,,,
25,215,-0.015076573006808758,-0.006683300714939833,-0.015076573006808758,-0.04993775987625122,0.014463376723229875,0.1396,,,
27,195,-0.0034243750851601362,-0.0016155026387423277,-0.0034243750851601362,-0.012253832216374577,0.003150358378887176,0.134,,,
38,189,-0.001311178202740848,0.004224583972245455,-0.004479616181924939,-0.023135963410139085,0.0022610000371932975,0.1326,,,
16,97,-0.025507180020213127,0.004536401014775038,-0.028909480781294405,-0.0930914167240262,0.02246701397001739,0.1304,,,
27,161,-0.018053386360406876,-0.0008236420108005404,-0.018053386360406876,-0.06388603460788726,0.01236860275268554,0.1302,,,
38,71,-0.002986414358019829,-0.006981539074331522,-0.002986414358019829,-0.008630581855773926,0.0018208725452423032,0.1238,,,
33,182,-0.009773061610758305,-0.017154134809970856,-0.009773061610758305,-0.02745015075430274,0.006267119050025922,0.1226,,,
16,81,-0.02302841655910015,0.0029897831846028566,-0.025270753947552294,-0.0873114179521799,0.020205552697181602,0.1216,,,
16,237,-0.01767038181424141,-0.017784927040338516,-0.01767038181424141,-0.04833259117603302,0.012216210961341772,0.1204,,,
8,10,-0.014927420765161514,-0.008820666931569576,-0.014927420765161514,-0.04579155838489533,0.010441394686698894,0.1184,,,
27,253,-0.004652626346796751,-0.001100059482268989,-0.004652626346796751,-0.017797178491950033,0.0037244167421013083,0.1176,,,
36,98,-0.002807595767080784,0.004085286054760218,-0.005871560308150947,-0.01919521453883499,0.003619364098645738,0.1146,,,
16,72,-0.028730446472764015,0.011419585905969143,-0.03729513590224087,-0.10574439439177513,0.023171838179230665,0.1072,,,
38,171,-0.0012433051597326994,0.000624725827947259,-0.0017118495306931436,-0.004670887857675552,2.718091011047362e-06,0.106,,,
36,102,-0.005720140878111124,0.0021709168795496225,-0.007348328537773341,-0.0225662014009431,0.004666301050223403,0.1056,,,
24,3,-0.017831088975071907,-0.026717035099864006,-0.017831088975071907,-0.04664340609312057,0.009043544173240636,0.0964,,,
36,122,-0.00673395162448287,-0.004286220297217369,-0.00673395162448287,-0.01765009189490229,0.0029341126680374127,0.0846,,,
24,54,-0.01722576841711998,-0.010748940519988537,-0.01722576841711998,-0.04468216592073441,0.008146271347999562,0.0838,,,
16,80,-0.03741387650370598,0.001262768404558301,-0.038360952807124704,-0.11729426374100148,0.015009740477427804,0.0818,,,
25,109,-0.01856239140033722,-0.01171140931546688,-0.01856239140033722,-0.04773298019170761,0.006537477314472196,0.0812,,,
16,95,-0.026019427925348282,0.006600880064070225,-0.03097008797340095,-0.08855772461090237,0.011851958453655234,0.0794,,,
33,137,-0.0038814281579107046,-0.0012475064722821116,-0.0038814281579107046,-0.014635779714211821,0.0015231561660766575,0.0734,,,
36,235,-0.003928950056433678,0.004735888447612524,-0.007480866392143071,-0.01984670006856322,0.0019144731666892723,0.0672,,,
33,173,-0.009560730308294296,-0.009010126814246178,-0.009560730308294296,-0.02238410848379135,0.0027715155482292107,0.0668,,,
36,154,-0.010734614916145802,-0.025162067264318466,-0.010734614916145802,-0.025541871786117554,0.00331631064414978,0.0656,,,
36,254,-0.008092508651316166,6.375506200129166e-05,-0.008140324947817135,-0.023617144156247376,0.0025035607265308417,0.0652,,,
38,63,-0.0023820686619728804,-0.001737277372740209,-0.0023820686619728804,-0.007629322474822403,0.0006163965463638289,0.0632,,,
