selector,module_type,pairs,budget_k,protocol,order_seed,lr,trainable_params,updates,mean_grad_norm,parameter_delta_l2,relative_parameter_delta,peak_gpu_gib,heldout_target_nll,heldout_control_nll,target_improvement,control_improvement,control_damage,utility_score,specific_gain,target_token_acc,control_token_acc,target_seq_exact,control_seq_exact,target_ci_low,target_ci_high,specific_ci_low,specific_ci_high
causal_routed,routed,"[(36, 229)]",1,natural,47,1e-05,3145728,19,1.0501703776811298,0.18329497385555252,0.004098449064715099,63.62277269363403,4.728111743927002,4.091710090637207,0.03479146957397461,0.028436660766601562,-0.028436660766601562,0.03479146957397461,0.006354808807373047,0.6212856769561768,0.6330000162124634,0.0,0.0,0.023474453270435333,0.047169115304946885,-0.011143756091594693,0.024692507445812223
routing_routed,routed,"[(29, 194)]",1,natural,47,1e-05,3145728,19,8.580202504208213,0.21284282655197773,0.00479189238652035,63.62277269363403,3.963651418685913,3.4548914432525635,0.7992517948150635,0.6652553081512451,-0.6652553081512451,0.7992517948150635,0.13399648666381836,0.6379523873329163,0.6413334012031555,0.0,0.0,0.7113631519079209,0.8946368329823017,-0.00782284185290343,0.2758635551929474
hybrid_causal_exposure,routed,"[(36, 229)]",1,natural,47,1e-05,3145728,19,1.0501703776811298,0.18329497385555252,0.004098449064715099,63.62277269363403,4.728111743927002,4.091710090637207,0.03479146957397461,0.028436660766601562,-0.028436660766601562,0.03479146957397461,0.006354808807373047,0.6212856769561768,0.6330000162124634,0.0,0.0,0.023474453270435333,0.047169115304946885,-0.011143756091594693,0.024692507445812223
gradient_routed,routed,"[(25, 168)]",1,natural,47,1e-05,3145728,19,11.12363428818552,0.22851362798095326,0.0055615680943361,63.62277269363403,3.655308246612549,3.3094191551208496,1.1075949668884277,0.810727596282959,-0.810727596282959,1.1075949668884277,0.29686737060546875,0.6379523873329163,0.6463333964347839,0.0,0.0,0.979480819195509,1.2447606599926948,0.11992459809780112,0.4808287926912308
causal_shared,shared,"[(38, 'shared')]",1,always_active_shared,47,1e-05,3145728,19,10.884216961107755,0.2077247502484888,0.005782942916203534,63.62277269363403,4.137393951416016,3.6043667793273926,0.6255092620849609,0.515779972076416,-0.515779972076416,0.6255092620849609,0.10972929000854492,0.6212856769561768,0.6363333463668823,0.0,0.0,0.5572433170676231,0.6980868809223175,0.012968821644782956,0.20771649491786953
causal_routed,routed,"[(36, 229)]",1,forced_lowest_slot,11,1e-05,3145728,19,1.9500060332448859,0.18704716070199717,0.004182347419088779,63.62277269363403,4.740237712860107,4.101386547088623,0.02266550064086914,0.018760204315185547,-0.018760204315185547,0.02266550064086914,0.0039052963256835938,0.6212856769561768,0.6363333463668823,0.0,0.0,0.01113539445400238,0.03386921697854996,-0.01259261405467987,0.01951546114683151
routing_routed,routed,"[(29, 194)]",1,forced_lowest_slot,11,1e-05,3145728,19,8.663449061544318,0.21030717733883247,0.004734805387835949,63.62277269363403,3.9690189361572266,3.4539315700531006,0.79388427734375,0.666215181350708,-0.666215181350708,0.79388427734375,0.127669095993042,0.6329523921012878,0.6446666717529297,0.0,0.0,0.704723443865776,0.8866599568128585,-0.014743786990642622,0.267280118227005
causal_routed,routed,"[(36, 229)]",1,forced_lowest_slot,23,1e-05,3145728,19,1.9522219394382678,0.187328257484876,0.004188632702436439,63.62277269363403,4.7397966384887695,4.097657203674316,0.02310657501220703,0.022489547729492188,-0.022489547729492188,0.02310657501220703,0.0006170272827148438,0.6212856769561768,0.6363333463668823,0.0,0.0,0.013744741678237915,0.03270692813396453,-0.014138819277286531,0.015124993115663524
routing_routed,routed,"[(29, 194)]",1,forced_lowest_slot,23,1e-05,3145728,19,8.664233684539795,0.20951711854139912,0.004717018193418101,63.62277269363403,3.970057487487793,3.46382999420166,0.7928457260131836,0.6563167572021484,-0.6563167572021484,0.7928457260131836,0.13652896881103516,0.62628573179245,0.6363333463668823,0.0,0.0,0.7032513670921325,0.8844544559419154,-0.004512777000665699,0.26937149921059605
causal_routed,routed,"[(36, 229)]",1,forced_lowest_slot,47,1e-05,3145728,19,1.945201547522294,0.18805642564924402,0.004204914437114888,63.62277269363403,4.741739273071289,4.100834846496582,0.0211639404296875,0.019311904907226562,-0.019311904907226562,0.0211639404296875,0.0018520355224609375,0.6212856769561768,0.6363333463668823,0.0,0.0,0.012112654864788056,0.031221267044544213,-0.011227259755134583,0.015707304418087004
