layer,expert,panel_group,global_target_grad_bf16,global_control_grad_bf16,global_grad_specific_bf16,global_grad_ratio_bf16,scan_peak_gpu_gib,selection_supervised_positions,selection_supervised_selected_hits,selection_supervised_selected_rate,selection_supervised_routing_mass,routing_rank,global_target_grad_rank,global_grad_specific_rank
26,134,sentinel,2.849454164505005,3.426743268966675,0.2793967127799988,0.8315341829980215,64.8782606124878,681,75,0.1101321585903083,0.0197865042217327,411,7,166
29,250,sentinel,2.796088933944702,3.139296531677246,0.4416165351867676,0.8906737244251126,64.8782606124878,681,72,0.105726872246696,0.0218686903450807,357,8,66
28,128,sentinel,1.1650127172470093,0.0,1.1650127172470093,1165012717247.0093,64.8782606124878,681,250,0.3671071953010279,0.0579255001835536,46,73,2
21,36,sentinel,2.7406818866729736,2.184737205505371,1.102128982543945,1.2544675303580723,64.8782606124878,681,91,0.1336270190895741,0.0232776076082966,315,9,3
29,10,sentinel,1.0693954229354858,0.0,1.0693954229354858,1069395422935.4858,64.8782606124878,681,454,0.6666666666666666,0.1194410506149045,4,77,4
30,63,sentinel,0.989340603351593,0.00431521050632,0.986104195471853,229.2682133753034,64.8782606124878,681,142,0.2085168869309838,0.0361471526248164,158,85,5
22,210,sentinel,1.8899952173233032,1.2102516889572144,0.9823064506053923,1.5616546827133226,64.8782606124878,681,93,0.1365638766519823,0.0169500275330396,512,33,6
36,128,sentinel,1.0286517143249512,0.0784412026405334,0.9698208123445512,13.113665773659308,64.8782606124878,681,318,0.4669603524229075,0.0739007577321953,23,81,7
22,216,sentinel,1.2012146711349487,0.3624974191188812,0.9293416067957878,3.313719237095302,64.8782606124878,681,295,0.4331864904552129,0.0639555226688693,40,70,8
6,0,sentinel,0.4621697962284088,0.182107388973236,0.3255892544984817,2.5378970004001045,64.8782606124878,681,537,0.788546255506608,0.1607574597329295,1,253,128
15,193,sentinel,0.7869179844856262,0.0874414145946502,0.7213369235396385,8.999373902223798,64.8782606124878,681,558,0.8193832599118943,0.137533986095815,2,117,18
18,97,sentinel,0.5892008543014526,0.6859866976737976,0.0747108310461044,0.8589100288658545,64.8782606124878,681,509,0.7474302496328928,0.1287019032213656,3,194,682
9,76,sentinel,0.26616370677948,0.0086076883599162,0.2597079405095428,30.921624438451357,64.8782606124878,681,417,0.6123348017621145,0.1170426647393538,5,530,181
14,20,sentinel,0.2748998999595642,0.1083300411701202,0.193652369081974,2.537614654141292,64.8782606124878,681,531,0.7797356828193832,0.1151555043135095,6,508,254
8,104,sentinel,0.3868839740753174,0.0872040167450904,0.3214809615164995,4.436538459023014,64.8782606124878,681,459,0.6740088105726872,0.1149167412353157,7,329,138
27,23,sentinel,0.6386340856552124,0.0,0.6386340856552124,638634085655.2124,64.8782606124878,681,457,0.671071953010279,0.1120444142345815,8,177,32
38,60,sentinel,0.3250021934509277,0.8317306637763977,-0.2987958043813705,0.3907541318422649,64.8782606124878,681,93,0.1365638766519823,0.0460547448604992,84,410,9733
36,229,sentinel,0.2008682489395141,0.4948695600032806,-0.1702839210629463,0.4059014034683739,64.8782606124878,681,79,0.1160058737151248,0.0274627730359765,251,723,9453
17,103,sentinel,0.7972622513771057,0.7227605581283569,0.255191832780838,1.1030793565168713,64.8782606124878,681,169,0.2481644640234948,0.0272358405607562,256,114,186
17,14,sentinel,2.2832934856414795,2.3272974491119385,0.5378203988075256,0.9810922477965884,64.8782606124878,681,77,0.1130690161527166,0.0249697423366372,292,16,43
17,33,sentinel,1.4213186502456665,1.3491016626358032,0.4094924032688141,1.0535296854261642,64.8782606124878,681,72,0.105726872246696,0.0165900904001468,529,58,80
25,63,sentinel,0.6995730996131897,0.66658616065979,0.1996334791183471,1.0494863843553242,64.8782606124878,681,116,0.1703377386196769,0.0269246598522393,260,145,249
18,73,sentinel,0.3514109551906585,0.1504546850919723,0.2385699413716793,2.335659770073008,64.8782606124878,681,60,0.0881057268722467,0.008522336178414,1268,368,205
