layer,expert,target_delta_nll,control_delta_nll,causal_specificity,target_relative_delta,control_relative_delta,causal_relative_specificity,renorm_target_delta_nll,renorm_control_delta_nll,renorm_causal_specificity,renorm_target_relative_delta,renorm_control_relative_delta,renorm_causal_relative_specificity,ci_2.5,ci_97.5,p_positive
30,63,0.007536599412560463,-0.000835000304505229,0.007536599412560463,0.0083054208957965,-0.00031618315791489545,0.0083054208957965,0.014464404433965683,0.0037137449253350496,0.011679095739964396,0.015939943236321818,0.0014062552933781598,0.014885251766288198,-0.007271546863019466,0.020106145739555353,0.814
22,210,0.04315764456987381,-0.008804509416222572,0.04315764456987381,0.04756023020496616,-0.0033339360190559695,0.04756023020496616,0.06364144384860992,0.0068287611939013,0.05851987295318395,0.07013361711888173,0.0025857946006544045,0.06819427116839093,0.010912826295942072,0.06212056755274534,0.9934
36,128,-0.012342473492026329,0.004606252536177635,-0.015797162894159555,-0.013601550465273251,0.001744214301700318,-0.01490971119154849,0.007414525840431452,0.0013765901094302535,0.006382083258358762,0.008170894388377902,0.0005212628134452894,0.007779947278293935,-0.02785560005158186,-0.004240631170570852,0.0026
22,216,0.05692439153790474,-0.02078017219901085,0.05692439153790474,0.06273134673596699,-0.007868668349518455,0.06273134673596699,0.04426908120512962,-0.015981042757630348,0.04426908120512962,0.04878504640515097,-0.006051418830169887,0.04878504640515097,0.00790639539808035,0.11681221449375152,0.9914
6,0,0.005164036061614752,-0.006627911236137152,0.005164036061614752,0.005690828272138544,-0.0025097402883741578,0.005690828272138544,0.020818138495087624,-0.03087843395769596,0.020818138495087624,0.022941832649420933,-0.011692499640459366,0.022941832649420933,-0.037161593161523336,0.03839050105214115,0.5344
15,193,0.03339611366391182,-0.0068168239668011665,0.03339611366391182,0.03680290872304911,-0.002581274422468956,0.03680290872304911,0.03573097661137581,-0.031851477921009064,0.03573097661137581,0.039375955060150396,-0.01206095473137417,0.039375955060150396,-0.014601063657552002,0.08990447252988813,0.8852
18,97,0.014731121249496937,0.004003922920674086,0.011728179058991373,0.016233868293461216,0.001516134768186346,0.015096767217321456,0.014571556821465492,-0.007042627781629562,0.014571556821465492,0.016058026423374616,-0.002666777820319783,0.016058026423374616,-0.022394523136317734,0.04042305383086204,0.7098
9,76,-0.009765679016709328,-0.041702404618263245,-0.009765679016709328,-0.01076189274858429,-0.01579112955253374,-0.01076189274858429,0.009810233488678932,-0.02074567601084709,0.009810233488678932,0.010810992298957212,-0.007855605942653698,0.010810992298957212,-0.034898794047534466,0.018058567367494095,0.2306
14,20,0.014995355159044266,0.02008962631225586,-7.186457514762878e-05,0.016525057159101984,0.007607184637499082,0.010819668680977673,-0.005426427349448204,-0.01727815717458725,-0.005426427349448204,-0.005979986547051623,-0.006542587193004662,-0.005979986547051623,-0.03666830218955874,0.02987145881354807,0.494
8,104,0.0006072699907235801,-0.030343223363161087,0.0006072699907235801,0.0006692186481266436,-0.011489835551576408,0.0006692186481266436,0.03399486467242241,-0.02725398726761341,0.03399486467242241,0.0374627393529185,-0.010320058224592418,0.0374627393529185,-0.02616190028190613,0.02889138583838935,0.4994
27,23,0.002265992108732462,-0.008919167332351208,0.002265992108732462,0.0024971498655230644,-0.00337735265232651,0.0024971498655230644,0.0004109543515369296,-0.006265340372920036,0.0004109543515369296,0.00045287651255352345,-0.0023724483617947475,0.00045287651255352345,-0.012233887799084187,0.021156125910580158,0.5628
38,60,0.5271987318992615,0.3685604929924011,0.25077836215496063,0.580979182316122,0.13955997372486983,0.4763092020224696,0.5281561613082886,0.3685191869735718,0.25176677107810974,0.5820342807477478,0.13954433269168232,0.47737603122898603,0.09140610732883218,0.40503480554372073,0.9992
36,229,0.5422250628471375,0.5105193853378296,0.15933552384376526,0.5975383751576112,0.19331445816481793,0.45255253153399777,0.5486129522323608,0.5198511481285095,0.1587245911359787,0.6045779041382349,0.19684804517329002,0.4569418702582674,-0.07143923574313515,0.3616261027678847,0.9228
17,103,0.05623955652117729,-0.021787747740745544,0.05623955652117729,0.06197665051997573,-0.008250199248255381,0.06197665051997573,0.05386766418814659,0.00047044039820320904,0.053514833889494184,0.059362797365925715,0.00017813805565348756,0.0592291938241856,0.023876633733510972,0.08951520507037639,1.0
17,14,0.06287863850593567,0.01564933732151985,0.05114163551479578,0.06929299668973787,0.005925814478026447,0.06484863583121804,0.012601868249475956,0.01594384014606476,0.0006439881399273872,0.013887406528578368,0.006037331602723355,0.009359407826535852,0.0017777305543422647,0.09887383885309099,0.9796
17,33,0.06571631133556366,0.019605468958616257,0.05101220961660147,0.07242014541086372,0.0074238524875878354,0.06685225604517285,0.0580378957092762,0.015180799178779125,0.046652296325191855,0.06395844138518667,0.005748396734851942,0.059647143834047706,0.008497345983982087,0.0948259187936782,0.9902
25,63,0.03618102893233299,-0.0027680229395627975,0.03618102893233299,0.03987191799330696,-0.001048146006042991,0.03987191799330696,0.035167574882507324,-0.011289771646261215,0.035167574882507324,0.03875507975080681,-0.004275011196993599,0.03875507975080681,0.007577264472842217,0.06932902105152601,0.9968
18,73,0.03596148639917374,-0.0032223225571215153,0.03596148639917374,0.03962997954831304,-0.001220172156146443,0.03962997954831304,0.028988366946578026,-0.035074397921562195,0.028988366946578026,0.03194552017344523,-0.013281353116840368,0.03194552017344523,0.012460954748094083,0.05328368024155498,0.9988
36,95,0.0007477572653442621,0.0109429145231843,-0.0074594286270439625,0.0008240372715343731,0.004143669471813369,-0.0022837148323256533,-7.778107828926295e-05,0.024160651490092278,-0.01819826969585847,-8.571566001565635e-05,0.00914872850249453,-0.006947262036886554,-0.021537453599274156,0.0016083968058228473,0.1216
30,229,0.0024154966231435537,0.03238530457019806,-0.02187348180450499,0.002661905592878877,0.012263094772292739,-0.006535415486340677,0.0044135116040706635,0.033615075051784515,-0.020797794684767723,0.004863741522363252,0.012728762523885866,-0.004682830370551147,-0.06210234315693378,0.009658213328570114,0.1088
29,194,-0.009191103279590607,0.04075909033417702,-0.03976042103022337,-0.010128703551168497,0.015433931971120468,-0.02170415252950885,-0.019843075424432755,-0.024408524855971336,-0.019843075424432755,-0.021867301715981665,-0.009242588807890556,-0.021867301715981665,-0.076345379807055,-0.004188980817794821,0.0126
33,1,0.0002944448497146368,-0.00012481689918786287,0.0002944448497146368,0.00032448167583432454,-4.726345743041162e-05,0.00032448167583432454,-0.0010139707010239363,0.0008761155768297613,-0.0016710573836462572,-0.0011174075981767678,0.0003317519625871339,-0.0013662215701171184,-0.011116928990930319,0.0018904485404491417,0.3384
