layer,expert,panel_group,v6_anchor,global_target_grad_bf16,global_control_grad_bf16,global_grad_specific_bf16,global_grad_ratio_bf16,scan_peak_gpu_gib,selection_supervised_positions,selection_supervised_selected_hits,selection_supervised_selected_rate,selection_supervised_routing_mass,routing_rank,global_target_grad_rank,global_grad_specific_rank,global_grad_ratio_rank,target_delta_nll,control_delta_nll,causal_specificity,renorm_target_delta_nll,renorm_control_delta_nll,renorm_causal_specificity,ci_2.5,ci_97.5,p_positive,precise_target_grad_l2,precise_control_grad_l2,precise_grad_dot,precise_grad_cosine,precise_grad_specific,precise_grad_ratio,atlas_order_seed,atlas_lr,atlas_updates,trainable_params,mean_train_grad_norm,parameter_delta_l2,relative_parameter_delta,peak_gpu_gib,validation_target_nll,validation_control_nll,validation_target_improvement,validation_control_improvement,validation_utility_score,validation_specific_gain,validation_target_token_acc,validation_control_token_acc,validation_target_seq_exact,validation_control_seq_exact
11,174,population_random,False,0.426253467798233,0.6286056041717529,-0.0452007353305816,0.6780936488136851,64.86089658737183,161,4,0.024844720496894408,0.005932162267080745,1333,957,8289,4588,-0.024669075384736,0.0577986910939216,-0.0680180937051773,-0.0081366607919335,0.0139748118817806,-0.018617769703269,-0.1599411441255361,0.0218853192180394,0.0718,0.388190647277087,0.5615329244061028,0.1846930682659149,0.8472865320038657,-0.03295904602749,0.6913052296745733,101,1e-05,7,3145728,0.3847615165369851,0.0857668409444637,0.0018981498638864,62.97764205932617,4.695657730102539,4.025557994842529,0.0669398307800293,0.0043764114379882,0.0669398307800293,0.062563419342041,0.640952467918396,0.6419999599456787,0.0,0.0
12,180,population_random,False,0.1668139547109604,0.0,0.1668139547109604,166813954710.9604,64.86089658737183,161,1,0.006211180124223602,0.0004700844332298137,4198,2206,633,213,-0.0338439904153347,0.0042126504704356,-0.0370034782681614,-0.0220536012202501,0.0159807968884706,-0.0340391988866031,-0.0989779789289459,0.0119646541802212,0.0708,0.1327883386372825,0.017759608984535,5.477048034663312e-06,0.0023224865780432,0.1194686318988812,7.476985486867219,101,1e-05,7,3145728,0.014239819055157,0.0450760318738722,0.0010132066754011,62.97764158248901,4.733830451965332,4.030340671539307,0.0287671089172363,-0.000406265258789,0.0284624099731445,0.0291733741760253,0.6309524178504944,0.6320000290870667,0.0,0.0
13,166,population_random,False,0.3087497353553772,0.5090948939323425,-0.0730714350938797,0.6064679473996116,64.86089658737183,161,1,0.006211180124223602,0.00054590450310559,3944,1319,8764,5308,0.0287011284381151,0.0610504150390625,-0.0170866828411817,-0.0027353905607014,0.0234556980431079,-0.0203271640930324,-0.0978524520341306,0.0613443998750298,0.3322,0.2706250373981265,0.4546976586481876,0.1083029396831989,0.8801355299751527,-0.0703982065880142,0.5951757882415698,101,1e-05,7,3145728,0.2652322437082018,0.095090144981716,0.0021586081690962,62.97764205932617,4.68808126449585,4.015334606170654,0.0745162963867187,0.0145998001098632,0.0745162963867187,0.0599164962768554,0.6309524178504944,0.6419999599456787,0.0,0.0
14,76,population_random,False,0.0986313745379448,0.3185817301273346,-0.1403049230575561,0.3095952002590136,64.86089658737183,161,10,0.062111801242236024,0.005498471467391304,1392,3162,9246,6473,-0.0241301078349351,0.0020339370239526,-0.0256555606028996,-0.0153058245778083,-0.0092372028157114,-0.0153058245778083,-0.115437976129353,0.0377978518009185,0.2182,0.0745136713194586,0.2366725996246497,0.0053853567223995,0.3053729278639827,-0.1029907783990286,0.3148386058940433,101,1e-05,7,3145728,0.1948671521885054,0.0630327241673893,0.0014698717737064,62.97764205932617,4.722987651824951,3.992781162261963,0.0396099090576171,0.0371532440185546,0.0396099090576171,0.0024566650390625,0.6176190376281738,0.6320000290870667,0.0,0.0
15,31,population_random,False,0.4192917346954345,0.1340469568967819,0.3187565170228481,3.1279466867358074,64.86089658737183,161,16,0.09937888198757763,0.008960415857919254,1062,983,323,1642,-0.0253517441451549,-0.0047077215276658,-0.0253517441451549,-0.0602842606604099,-0.0130394706502556,-0.0602842606604099,-0.0813445994108915,0.0191171743869781,0.1204,0.3038778796842169,0.0895349648755156,4.592581535689533e-05,0.0016879715417846,0.2367266560275802,3.393957657807959,101,1e-05,7,3145728,0.0281586918925833,0.0475077925416436,0.0010719047306038,62.97764158248901,4.754184722900391,4.037971496582031,0.0084128379821777,-0.0080370903015136,0.0023850202560424,0.0164499282836914,0.6309524178504944,0.6320000290870667,0.0,0.0
16,159,population_random,False,0.1936303824186325,1.534850001335144,-0.9575071185827256,0.1261558994364726,64.86089658737183,161,1,0.006211180124223602,0.0002714358501552795,4642,1972,9913,6916,-0.0468067266047,-0.0313043482601642,-0.0468067266047,-0.0721837878227233,-0.0174540448933839,-0.0721837878227233,-0.1007015290260315,0.0042223913669586,0.0354,0.1744094034236924,1.364422252359274,0.0032851810683496,0.0138051338308822,-0.8489072858457629,0.1278265603789345,101,1e-05,7,3145728,0.1303795767681939,0.0526661669067425,0.0012242913712034,62.97764158248901,4.770447254180908,3.991703748703003,-0.0078496932983398,0.0382306575775146,-0.0078496932983398,-0.0460803508758544,0.6309524178504944,0.6320000290870667,0.0,0.0
17,129,population_random,False,0.0,0.0,0.0,0.0,64.86089658737183,161,4,0.024844720496894408,0.004549204192546584,1544,7263,3722,7263,-0.0209491234272718,0.0053661465644836,-0.0249737333506345,-0.013357457704842,-0.002117354189977,-0.013357457704842,-0.07959716201853,0.0106639569997787,0.0816,0.0,0.0,0.0,0.0,0.0,0.0,101,1e-05,7,3145728,0.2531917403851236,0.0477925126015393,0.0010788357793169,62.97764205932617,4.725662708282471,4.038295269012451,0.0369348526000976,-0.0083608627319335,0.0306642055511474,0.0452957153320312,0.6309524178504944,0.6320000290870667,0.0,0.0
18,143,population_random,False,0.5331810712814331,0.9238858819007874,-0.1597333401441574,0.5771070667125016,64.86089658737183,161,0,0.0,0.0,7245,761,9329,5515,-0.0101345321163535,0.0132885547354817,-0.0201009481679648,-0.0762218981981277,-0.032398771494627,-0.0762218981981277,-0.0908642143039032,0.036266279220581,0.2398,0.5130987196986623,0.8555538884128769,0.1750560402870178,0.3987758047948104,-0.1285666966109954,0.5997269449033807,101,1e-05,7,3145728,0.6209052162511008,0.0663053836944399,0.0014922428121635,62.97764205932617,4.758707046508789,4.024334907531738,0.0038905143737792,0.0055994987487792,0.0038905143737792,-0.001708984375,0.6309524178504944,0.621999979019165,0.0,0.0
19,28,population_random,False,0.0,0.1840790212154388,-0.1380592659115791,0.0,64.86089658737183,161,0,0.0,0.0,7318,7263,9233,7263,0.0097493007779121,-0.0175690595060586,0.0097493007779121,-0.0055534671992063,-0.0152139971032738,-0.0055534671992063,-0.0108726430535316,0.0299363751411438,0.8236,0.0,0.1224603487149675,0.0,0.0,-0.0918452615362256,0.0,101,1e-05,7,3145728,0.0,0.0,0.0,62.95420408248901,4.762597560882568,4.029934406280518,0.0,0.0,0.0,0.0,0.6309524178504944,0.6320000290870667,0.0,0.0
20,23,population_random,False,0.6664793491363525,0.9122377038002014,-0.0176989287137985,0.7305983367703408,64.86089658737183,161,0,0.0,0.0,7464,583,7389,3921,-0.0165596455335617,-0.0195198934525251,-0.0165596455335617,-0.0325293578207492,-0.0151406824588775,-0.0325293578207492,-0.0621922273896634,0.0277725950479506,0.2368,0.6077955513285178,0.8911815711204832,0.2571337148547172,0.4747175746081236,-0.0605906270118445,0.6820109066704039,101,1e-05,7,3145728,0.7697484919003078,0.0713813605561146,0.0016969299106957,62.97764205932617,4.747142791748047,4.008124351501465,0.0154547691345214,0.0218100547790527,0.0154547691345214,-0.0063552856445312,0.640952467918396,0.6320000290870667,0.0,0.0
