layer,expert,precise_target_grad_l2,precise_control_grad_l2,precise_grad_dot,precise_grad_cosine,precise_grad_specific,precise_grad_ratio
29,194,9.447502242100922,12.574317042952261,81.03778457641602,0.6821598426473212,0.016764459886726257,0.7513332302524829
25,168,9.656088028324007,11.12961131333165,89.21567153930664,0.8301564280822223,1.3088795433252702,0.8676033471857688
30,229,11.57535962170257,13.604000024325003,123.63225796818733,0.7851103172990659,1.3723596034588166,0.8508791238609292
30,66,8.356450961655943,9.903792500653276,55.670541763305664,0.6726699796099047,0.9286065861659853,0.843762726360017
36,95,8.147098947014292,0.1109038285916559,0.007613042369484901,0.008425752869079092,8.063921075570551,73.46093503172168
24,153,8.348913873628275,11.192026597117518,77.03628158569336,0.824435335432495,-0.04510607420986368,0.7459698028038795
30,195,8.087050563110306,8.404854697674057,45.71830749511719,0.6726199989867506,1.7834095398547634,0.962188027515495
26,134,7.924759258861627,9.15000707907481,55.94308853149414,0.7715053311638004,1.0622539495555205,0.8660932380023975
21,82,7.627087666867097,9.105388835751043,59.44336700439453,0.8559456043618338,0.7980460400538147,0.8376454651688855
29,250,7.787581231197214,9.288291238219038,53.6611270904541,0.7418590108052004,0.8213628025329349,0.8384299147675721
23,28,7.480498709755605,9.232510296144175,56.91753578186035,0.8241300239083295,0.5561159876474742,0.8102345374993968
35,124,7.220835330857934,8.259417158719968,34.120720863342285,0.5721123925364652,1.0262724618179586,0.8742548284092402
33,1,5.716859932497294,0.0,0.0,0.0,5.716859932497294,5716859932497.294
16,59,4.773214331871491,0.0,0.0,0.0,4.773214331871491,4773214331871.49
31,70,4.717987908471151,0.0,0.0,0.0,4.717987908471151,4717987908471.15
35,22,4.676292958698299,0.0,0.0,0.0,4.676292958698299,4676292958698.299
29,136,3.477026336245433,0.0,0.0,0.0,3.477026336245433,3477026336245.4326
34,146,3.531293413013527,0.0,0.0,0.0,3.531293413013527,3531293413013.5273
23,216,3.713419451670906,0.07263751608812781,0.015439202077686787,0.05723871283269233,3.65894131460481,51.122610623337664
38,168,3.0334541722915587,0.007743278257872859,-3.7655991036444902e-06,-0.00016031412079065433,3.027646713598154,391.7532175491159
34,152,2.091393183374181,0.0,0.0,0.0,2.091393183374181,2091393183374.181
28,93,4.7464473890882655,2.242432158941999,4.380831718444824,0.4115935746611717,3.064623269881766,2.116651498311355
3,29,0.508297717756701,0.7136932557760282,0.28530633449554443,0.7864690955679381,-0.026972224075320184,0.7122075396429179
