layer,expert,panel_group,v6_anchor,global_target_grad_bf16,global_control_grad_bf16,global_grad_specific_bf16,global_grad_ratio_bf16,scan_peak_gpu_gib,selection_supervised_positions,selection_supervised_selected_hits,selection_supervised_selected_rate,selection_supervised_routing_mass,routing_rank,global_target_grad_rank,global_grad_specific_rank,global_grad_ratio_rank
26,229,population_random,False,0.1365073472261428,0.4395547807216644,-0.1931587383151054,0.31055821302117,64.86089658737183,161,1,0.006211180124223602,0.000597462150621118,3801,2564,9439,6471
27,180,population_random,False,0.2762659788131714,0.1224041208624839,0.1844628881663084,2.256999003499955,64.86089658737183,161,9,0.055900621118012424,0.005771423718944099,1350,1463,572,1816
28,7,population_random,False,0.1383480876684188,0.2421070486307144,-0.0432321988046169,0.5714335392145877,64.86089658737183,161,1,0.006211180124223602,0.0004154939829192547,4371,2545,8235,5551
29,217,population_random,False,0.0338389463722705,0.0,0.0338389463722705,33838946372.270584,64.86089658737183,161,41,0.2546583850931677,0.05067510190217391,131,5019,1909,662
30,246,population_random,False,0.0,0.0,0.0,0.0,64.86089658737183,161,0,0.0,0.0,8938,7263,3722,7263
31,223,population_random,False,0.0,0.0,0.0,0.0,64.86089658737183,161,0,0.0,0.0,9053,7263,3722,7263
32,190,population_random,False,0.0144470632076263,0.0040983157232403,0.011373326415196,3.525122069579964,64.86089658737183,161,1,0.006211180124223602,0.00040336277173913044,4411,6101,2703,1598
33,94,population_random,False,0.041877593845129,0.0563013292849063,-0.0003484031185507,0.7438118136157756,64.86089658737183,161,22,0.13664596273291926,0.01168842197204969,908,4667,5930,3773
34,185,population_random,False,2.927645683288574,0.006594827864319,2.922699562390335,443.930568481475,64.86089658737183,161,75,0.4658385093167702,0.07526506696428571,44,122,14,1221
35,137,population_random,False,0.0,0.0,0.0,0.0,64.86089658737183,161,3,0.018633540372670808,0.001769640430900621,2480,7263,3722,7263
36,47,population_random,False,0.0581711195409297,0.1169846504926681,-0.0295673683285713,0.4972542918703538,64.86089658737183,161,28,0.17391304347826086,0.0162694705939441,724,4114,7879,5923
37,54,population_random,False,0.2047719359397888,0.4045744836330414,-0.0986589267849922,0.5061414998307596,64.86089658737183,161,33,0.20496894409937888,0.024741605201863356,490,1894,9010,5882
38,150,population_random,False,0.0,0.0400652773678302,-0.0300489580258727,0.0,64.86089658737183,161,1,0.006211180124223602,0.0003972971661490683,4438,7263,7894,7263
39,218,population_random,False,0.0,0.0,0.0,0.0,64.86089658737183,161,0,0.0,0.0,9966,7263,3722,7263
2,155,population_random,False,0.0,0.0,0.0,0.0,64.86089658737183,161,0,0.0,0.0,4910,7263,3722,7263
34,179,population_random,False,0.0868502184748649,0.1400512605905532,-0.01818822696805,0.6201316439996616,64.86089658737183,161,3,0.018633540372670808,0.0014345157220496895,2715,3375,7409,5193
