layer,expert,target_delta_nll,control_delta_nll,causal_specificity,renorm_target_delta_nll,renorm_control_delta_nll,renorm_causal_specificity,ci_2.5,ci_97.5,p_positive
14,76,-0.02413010783493519,0.0020339370239526033,-0.02565556060289964,-0.01530582457780838,-0.009237202815711498,-0.01530582457780838,-0.11543797612935304,0.03779785180091852,0.2182
15,31,-0.025351744145154953,-0.0047077215276658535,-0.025351744145154953,-0.06028426066040993,-0.01303947065025568,-0.06028426066040993,-0.08134459941089153,0.019117174386978117,0.1204
16,159,-0.04680672660470009,-0.03130434826016426,-0.04680672660470009,-0.07218378782272339,-0.01745404489338398,-0.07218378782272339,-0.1007015290260315,0.004222391366958617,0.0354
17,129,-0.020949123427271843,0.005366146564483643,-0.024973733350634575,-0.01335745770484209,-0.00211735418997705,-0.01335745770484209,-0.07959716201853008,0.010663956999778743,0.0816
18,143,-0.010134532116353512,0.013288554735481739,-0.020100948167964816,-0.07622189819812775,-0.032398771494627,-0.07622189819812775,-0.09086421430390329,0.036266279220581024,0.2398
19,28,0.00974930077791214,-0.017569059506058693,0.00974930077791214,-0.005553467199206352,-0.015213997103273869,-0.005553467199206352,-0.010872643053531647,0.0299363751411438,0.8236
20,23,-0.016559645533561707,-0.01951989345252514,-0.016559645533561707,-0.03252935782074928,-0.015140682458877563,-0.03252935782074928,-0.06219222738966346,0.027772595047950672,0.2368
21,187,0.0023267127107828856,-0.00846159365028143,0.0023267127107828856,-0.009793078526854515,-0.024944892153143883,-0.009793078526854515,-0.0297576884701848,0.030974781870841978,0.5206
22,2,-0.009156916290521622,-0.022574739530682564,-0.009156916290521622,-0.01459116954356432,-0.030526695773005486,-0.01459116954356432,-0.034192880179733036,0.013999228239059445,0.202
23,139,-0.03176092728972435,-0.012998746708035469,-0.03176092728972435,-0.015212764963507652,-0.029235275462269783,-0.015212764963507652,-0.06536904701590537,-0.005910477441735572,0.0092
24,97,-0.012212979607284069,-0.031172938644886017,-0.012212979607284069,0.010550184175372124,-0.014965192414820194,0.010550184175372124,-0.05589610254764557,0.029587665975093803,0.2746
25,185,-0.01044678408652544,-0.006586751434952021,-0.01044678408652544,-0.0311563890427351,-0.022462762892246246,-0.0311563890427351,-0.04782960943877697,0.02068746173381804,0.2476
26,229,-0.002433781512081623,-0.03211464360356331,-0.002433781512081623,-0.025767354294657707,-0.008900841698050499,-0.025767354294657707,-0.027142743110656738,0.022425829172134395,0.4228
