layer,expert,target_delta_nll,control_delta_nll,causal_specificity,ci_2.5,ci_97.5,p_positive,renorm_target_delta_nll,renorm_control_delta_nll,renorm_causal_specificity,selected_rate,routing_mass,causal_rank,routing_rank,rank_gap
27,69,0.03329308703541756,-0.04564778506755829,0.03329308703541756,-0.0804227997859319,0.16270321359237033,0.6734,0.027618804946541786,-0.01615445874631405,0.027618804946541786,0.01255783212161269,0.0010311028379048248,10.0,28.0,18.0
36,37,0.010175228118896484,-0.005211988929659128,0.010175228118896484,-0.026929512992501257,0.061467251181602484,0.6148,0.026380697265267372,0.0027392555493861437,0.024326255603227764,0.04230006609385327,0.004314818448446794,12.0,17.0,5.0
38,203,0.0066088042221963406,-0.015369176864624023,0.0066088042221963406,-0.042855793299774333,0.0404791807134946,0.5654,-0.0036662619095295668,0.021887287497520447,-0.020081727532669902,0.06543291473892927,0.007609829395241243,15.0,14.0,-1.0
36,250,0.01876002550125122,0.015420611016452312,0.007194567238911986,-0.03593040481209755,0.07422470953315495,0.564,0.014117996208369732,0.011566400527954102,0.005443195812404156,0.018506278916060808,0.0024820694605089226,14.0,23.0,9.0
27,29,0.016981204971671104,0.012486626394093037,0.007616235176101327,-0.057217850474019845,0.06648718398064371,0.5506,0.04266120865941048,0.018571967259049416,0.028732233215123415,0.07005948446794448,0.011159953579395242,13.0,10.0,-3.0
33,133,0.0049744644202291965,-9.014705574372783e-05,0.0049744644202291965,-0.031404010082284606,0.02180650228013595,0.5114,-0.0017581382999196649,0.008058478124439716,-0.007801996893249452,0.01784534038334435,0.0022761716168208856,16.0,25.0,9.0
33,119,0.00640098238363862,0.0070641785860061646,0.001102848444133997,-0.03350113015621901,0.025960301049053645,0.4684,,,,0.015862524785194978,0.002572109426635823,17.0,22.0,5.0
36,122,0.00043364366865716875,-0.012857501395046711,0.00043364366865716875,-0.015090573703249295,0.0059651613235473635,0.4608,,,,0.036351619299405155,0.0038002352011731657,18.0,19.0,1.0
33,140,-7.915496826171875e-05,-0.01370673906058073,-7.915496826171875e-05,-0.014576217625290155,0.009645883738994594,0.439,,,,0.06609385327164574,0.00834660804279577,27.0,13.0,-14.0
33,55,-0.0017865300178527832,0.0016336491098627448,-0.003011766850249842,-0.0324818864154319,0.01013464325418074,0.2716,,,,0.046265697290152015,0.003181734860376735,29.0,20.0,-9.0
27,139,-0.03326179459691048,-0.025893932208418846,-0.03326179459691048,-0.16065979407479364,0.04003091414148608,0.2702,,,,0.038334434897554524,0.005973457896150033,37.0,16.0,-21.0
38,71,-0.003130535362288356,-0.0038908671122044325,-0.003130535362288356,-0.0157847604714334,0.00031660348176956087,0.2264,,,,0.03767349636483807,0.00405308937128222,30.0,18.0,-12.0
36,149,-0.0025344889145344496,0.004454230424016714,-0.005875161732546985,-0.02603816203773022,0.008224206014225847,0.226,,,,0.018506278916060808,0.001571988082452082,33.0,27.0,-6.0
36,193,-0.003937045577913523,0.005821918603032827,-0.008303484530188143,-0.02903528700893124,0.004341006713608864,0.1282,,,,0.023132848645076007,0.0022167904205221416,34.0,26.0,-8.0
33,153,-0.006297329906374216,0.00773686682805419,-0.012099980027414858,-0.04079680911575754,0.006337261510391999,0.1076,,,,0.005948446794448116,0.0007879303845836087,35.0,30.0,-5.0
27,141,-0.037174880504608154,0.025025760754942894,-0.055944201070815325,-0.15784879395117363,0.013361777861912979,0.0774,,,,0.004626569729015202,0.0006467386814276272,39.0,31.0,-8.0
38,18,-0.0035646159667521715,-0.00408211862668395,-0.0035646159667521715,-0.010647425055503845,1.136561234792072e-05,0.0668,,,,0.010575016523463317,0.0009952804857898216,31.0,29.0,-2.0
33,100,-0.012184877879917622,0.0025075774174183607,-0.014065560942981392,-0.053540200926363475,0.005018323659896845,0.0652,,,,0.07732980832782552,0.011115256320224719,36.0,11.0,-25.0
27,249,-0.03590160608291626,0.0033931087236851454,-0.03844643762568012,-0.09966837813456852,0.0015301068623860548,0.0308,,,,0.020489094514210177,0.0023978385244547255,38.0,24.0,-14.0
36,172,-0.0008784334058873355,0.0014544874429702759,-0.0019692989881150424,-0.01366303265094757,-6.49313131968183e-05,0.012,,,,0.09187045604758758,0.015488487793291475,28.0,8.0,-20.0
36,62,-0.004397491458803415,-0.005058040376752615,-0.004397491458803415,-0.010665659606456756,-0.0004288107156753555,0.007,,,,0.09120951751487112,0.007091373461252479,32.0,15.0,-17.0
27,73,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,19.0,35.0,16.0
38,181,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,19.0,35.0,16.0
38,171,0.0,-1.1156002983625513e-05,0.0,-8.270144462585449e-07,0.0,0.0,,,,0.0019828155981493722,0.00010536935104097819,19.0,33.0,14.0
27,133,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,19.0,35.0,16.0
27,195,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,19.0,35.0,16.0
38,90,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,19.0,35.0,16.0
36,204,0.0,-1.5457471818081103e-05,0.0,0.0,0.0,0.0,,,,0.0006609385327164573,7.261287590879049e-05,19.0,34.0,15.0
38,157,-1.0271866813127417e-05,-0.0006011973018757999,-1.0271866813127417e-05,-3.073612848917643e-05,0.0,0.0,,,,0.0019828155981493722,0.00016507327123265036,26.0,32.0,6.0
