layer,expert,target_delta_nll,control_delta_nll,causal_specificity,target_relative_delta,control_relative_delta,causal_relative_specificity,renorm_target_delta_nll,renorm_control_delta_nll,renorm_causal_specificity,renorm_target_relative_delta,renorm_control_relative_delta,renorm_causal_relative_specificity,ci_2.5,ci_97.5,p_positive
24,92,-0.0019187992438673973,-0.005698885768651962,-0.0019187992438673973,-0.002379635189016696,-0.0019884607681611476,-0.002379635189016696,0.0017641627928242087,-0.012485168874263763,0.0017641627928242087,0.0021878598682878022,-0.0043563372733145134,0.0021878598682878022,-0.01944346382468939,0.0027945020198822,0.1594
25,95,-0.0015402185963466763,-0.010465094819664955,-0.0015402185963466763,-0.0019101312356456933,-0.0036514910683869647,-0.0019101312356456933,-0.0013291042996570468,0.0021221644710749388,-0.002920727652963251,-0.0016483138459876688,0.0007404676923917614,-0.00220366461528149,-0.011765752855688335,0.0026403839588165137,0.1932
26,99,-0.0036030232440680265,0.002656536642462015,-0.005595425725914538,-0.004468357451063226,0.0009269213504463311,-0.005163548463897974,0.00024187087547034025,-0.004750990308821201,0.00024187087547034025,0.00029996074279632797,-0.0016577201618904257,0.00029996074279632797,-0.017590806033462286,-0.0007489424496889225,0.0076
27,231,0.013694021850824356,-0.0870247632265091,0.013694021850824356,0.016982900310980716,-0.030364765071499076,0.016982900310980716,0.01210081484168768,-0.09998128563165665,0.01210081484168768,0.015007054492588429,-0.03488556747749835,0.015007054492588429,0.007905463963747025,0.019423524871468534,1.0
28,207,0.0003443378082010895,0.0004991590976715088,-3.003151505254209e-05,0.00042703704825976094,0.00017416707810679585,0.00029641173967966404,-0.00042191744432784617,-0.0008408063440583646,-0.00042191744432784617,-0.0005232489019325045,-0.000293374967783666,-0.0005232489019325045,-0.0076707684025168425,0.0033818556070327704,0.3754
29,220,0.0017286193324252963,0.019100433215498924,-0.012596705579198897,0.00214377997333527,0.0066645417447778995,-0.0028546263352481546,0.00037756323581561446,0.0013601952232420444,-0.0006425831816159189,0.0004682421909938669,0.0004746006409419185,0.00011229171028742798,-0.02895038975402713,0.0014724237769842034,0.0472
30,251,-0.0033223426435142756,0.0013522118097171187,-0.004336501500802115,-0.004120266093362961,0.00047181506052589327,-0.004474127388757381,-0.0024917430710047483,-0.0026795531157404184,-0.0024917430710047483,-0.003090182317249857,-0.000934952280700678,-0.003090182317249857,-0.011791907157748938,-0.0011739285886287689,0.0034
31,55,0.0001656824315432459,-0.0037474341224879026,0.0001656824315432459,0.00020547420245356542,-0.001307558360763253,0.00020547420245356542,0.0006754446076229215,0.002342019695788622,-0.001081070164218545,0.0008376654106301887,0.0008171797913468213,0.00022478056712007274,-0.0008674390614032745,0.001231694847345351,0.6194
32,204,0.0006397193646989763,-0.0021792184561491013,0.0006397193646989763,0.0007933600746396224,-0.0007603750243848468,0.0007933600746396224,0.00047046958934515715,-0.006745608057826757,0.00047046958934515715,0.0005834617632595539,-0.0023536841278980532,0.0005834617632595539,-0.004385724321007729,0.0034865944087505334,0.5418
33,0,-0.0008643537876196206,-0.004583057947456837,-0.0008643537876196206,-0.0010719447046653391,-0.0015991250389429642,-0.0010719447046653391,-0.0003382867434993386,0.0008295351290144026,-0.0009604380902601406,-0.00041953270587411303,0.00028944220446215657,-0.0006366143592207304,-0.0027064494006335737,0.0007707609087228735,0.1554
34,164,-0.0007649880717508495,-0.00013644516002386808,-0.0007649880717508495,-0.0009487144319732455,-4.760857801455978e-05,-0.0009487144319732455,-0.00019861519103869796,-0.002523115836083889,-0.00019861519103869796,-0.00024631638728205663,-0.0008803680328489362,-0.00024631638728205663,-0.0057985705249011515,0.0011243298351764671,0.1572
35,250,-0.0003221571387257427,-0.004464794881641865,-0.0003221571387257427,-0.0003995292713163532,-0.0015578605749333341,-0.0003995292713163532,0.0004706364998128265,-0.003415487939491868,0.0004706364998128265,0.0005836687604342457,-0.001191735375565115,0.0005836687604342457,-0.0021151466071605684,0.0014030661284923547,0.3518
36,87,-0.002163512632250786,-0.0019015705911442637,-0.002163512632250786,-0.002683121127987008,-0.0006634978611395803,-0.002683121127987008,0.0004095214535482228,-0.006237538531422615,0.0004095214535482228,0.0005078757794152867,-0.0021764080143268512,0.0005078757794152867,-0.006052363008260727,-0.0006850415766239174,0.0028
