layer,expert,target_delta_nll,control_delta_nll,causal_specificity
17,187,-0.0006826907629147172,-0.013401398435235023,-0.0006826907629147172
17,200,-0.003599514253437519,-0.008288435637950897,-0.003599514253437519
17,211,0.0007021635537967086,0.037096794694662094,-0.027120432467199862
17,212,-0.00039467273745685816,0.008323244750499725,-0.006637106300331652
17,217,-0.0004012888530269265,-0.004590619821101427,-0.0004012888530269265
17,231,-0.00014432906755246222,0.018255839124321938,-0.013836208410793915
17,239,-0.002908344380557537,-0.008668837137520313,-0.002908344380557537
17,250,1.7874241166282445e-05,0.01378804724663496,-0.010323161193809938
24,40,-0.004294813144952059,-0.015420280396938324,-0.004294813144952059
24,55,0.0008549612830393016,0.0008291900157928467,0.00023306877119466662
24,69,-0.0020793569274246693,-0.00642057042568922,-0.0020793569274246693
24,74,0.006699021439999342,-0.010785446502268314,0.006699021439999342
24,88,-0.002066053682938218,-0.0011793810408562422,-0.002066053682938218
24,97,-0.0010016619926318526,-0.0037296838127076626,-0.0010016619926318526
24,100,0.0010626125149428844,0.0005288922693580389,0.0006659433129243553
24,132,0.0017841773806139827,0.0026900183875113726,-0.00023333641001954675
24,137,0.0008632916142232716,-0.0020674122497439384,0.0008632916142232716
24,150,0.0,0.0,0.0
24,160,0.008931737393140793,0.006338826846331358,0.004177617258392274
24,168,0.012638410553336143,0.004414030816406012,0.009327887441031635
24,171,-0.002355777658522129,-0.0030662459321320057,-0.002355777658522129
24,190,0.0,0.0,0.0
24,205,0.0025289051700383425,-0.013470156118273735,0.0025289051700383425
24,206,0.024778513237833977,0.0020259057637304068,0.02325908391503617
24,215,-0.0010085010435432196,-0.0011690467363223433,-0.0010085010435432196
24,221,4.463553341338411e-05,0.0051218364387750626,-0.003796741795667913
24,230,0.0003950262034777552,-0.003847705200314522,0.0003950262034777552
24,234,-0.0025182939134538174,1.4227628525986802e-05,-0.0025289646348483075
24,247,-0.0003292548644822091,-0.0023930282332003117,-0.0003292548644822091
24,248,-0.0007759117870591581,-0.005417561624199152,-0.0007759117870591581
24,251,0.0043142493814229965,-0.011910935863852501,0.0043142493814229965
24,254,-0.0023727864027023315,-0.0100460946559906,-0.0023727864027023315
31,8,-0.0008290845435112715,0.003879033261910081,-0.003738359489943832
31,26,-0.0005743032670579851,0.009223425760865211,-0.007491872587706894
31,29,0.0003417593252379447,0.0017852968303486705,-0.0009972132975235581
31,38,0.034496862441301346,-0.05311102047562599,0.034496862441301346
31,40,-0.0007346958154812455,0.0002908939204644412,-0.0009528662558295764
31,43,0.00016942679940257221,2.1769405066152103e-05,0.00015309974560295814
31,47,-0.0011067193700000644,0.0003858041891362518,-0.0013960725118522532
31,66,-0.0013160919770598412,0.007398913614451885,-0.006865277187898755
31,69,0.003834507428109646,-0.000504382245708257,0.003834507428109646
31,73,0.016750393435359,0.001172227319329977,0.01587122294586152
31,87,0.000989084830507636,0.003671737853437662,-0.0017647185595706105
31,94,-0.0016159283695742488,-0.00040263711707666516,-0.0016159283695742488
31,110,-0.0006399041158147156,-0.03701242059469223,-0.0006399041158147156
31,133,-0.000648095621727407,0.003930556122213602,-0.0035960127133876085
31,142,-0.0015583181520923972,-0.003716346574947238,-0.0015583181520923972
31,144,0.004842699971050024,0.0025292050559073687,0.0029457961791194975
31,160,0.006880841683596373,0.001431049662642181,0.005807554436614737
31,163,-0.0007183766574598849,-0.0016262030694633722,-0.0007183766574598849
31,169,-0.00043478311272338033,-0.017013676464557648,-0.00043478311272338033
31,178,-0.0010916388127952814,-0.004623311571776867,-0.0010916388127952814
