layer,expert,selection_supervised_positions,selection_supervised_selected_hits,selection_supervised_selected_rate,selection_supervised_routing_mass,routing_rank
31,194,1561,343,0.21973094170403587,0.01799039577994875,363
9,203,1561,243,0.15566944266495836,0.017943162936418962,364
35,241,1561,212,0.13581037796284434,0.017770653577434337,365
16,217,1561,216,0.13837283792440744,0.017743283552210123,366
39,129,1561,252,0.16143497757847533,0.01773765314702114,367
19,184,1561,264,0.16912235746316465,0.017706529518337604,368
9,46,1561,206,0.13196668802049968,0.017667898682735425,369
27,218,1561,281,0.1800128122998078,0.017644751461402947,370
24,143,1561,121,0.07751441383728379,0.0176298934477098,371
35,201,1561,254,0.1627162075592569,0.017618319837043563,372
11,55,1561,230,0.1473414477898783,0.017592201012972455,373
13,140,1561,227,0.14541960281870595,0.017555290578955798,374
24,110,1561,271,0.17360666239590006,0.01748866411755285,375
14,235,1561,257,0.1646380525304292,0.017466768097373478,376
36,247,1561,214,0.13709160794362588,0.01732632076793722,377
4,13,1561,186,0.11915438821268418,0.017313183155829595,378
18,43,1561,141,0.0903267136450993,0.017269391115470854,379
35,6,1561,246,0.15759128763613067,0.017264542711002563,380
24,65,1561,206,0.13196668802049968,0.0172418646901025,381
39,54,1561,142,0.09096732863549008,0.01719650864830237,382
4,226,1561,216,0.13837283792440744,0.01718024303331198,383
1,59,1561,225,0.1441383728379244,0.017154593409673288,384
17,64,1561,184,0.11787315823190263,0.01712847458560218,385
4,52,1561,263,0.16848174247277387,0.017114242172485587,386
3,234,1561,212,0.13581037796284434,0.017092346152306214,387
4,76,1561,171,0.10954516335682254,0.017088592548846895,388
25,154,1561,212,0.13581037796284434,0.017088279748558616,389
38,56,1561,216,0.13837283792440744,0.017027909292921205,390
37,75,1561,227,0.14541960281870595,0.01701508448110186,391
3,213,1561,190,0.12171684817424727,0.017014146080237026,392
9,197,1561,225,0.1441383728379244,0.016963472433536193,393
17,14,1561,162,0.10377962844330557,0.01696300323310378,394
22,28,1561,198,0.1268417680973735,0.016852115530909675,395
14,236,1561,237,0.1518257527226137,0.016784863468930173,396
20,5,1561,246,0.15759128763613067,0.016753896240390774,397
7,123,1561,184,0.11787315823190263,0.016703848194266496,398
33,28,1561,172,0.11018577834721333,0.01668617497797886,399
